Loss,Compute_Time_s,Entropy
0.00666529,9, 2.94903
0.00712484,9, 2.88916
0.0076903,9, 2.83618
0.00834236,9, 2.7866
0.00910072,9, 2.73824
0.00980682,9, 2.68965
0.0106454,9, 2.64098
0.0114504,9, 2.59169
0.0124545,9, 2.54151
0.0133185,9, 2.49058
0.0145105,9, 2.43923
0.0155574,9, 2.38771
0.0167613,9, 2.33614
0.0179333,9, 2.28436
0.0192182,9, 2.23231
0.0202559,9, 2.18098
0.0216995,9, 2.12971
0.0231948,9, 2.07882
0.0249516,9, 2.02896
0.0265026,9, 1.9793
0.0277992,9, 1.93023
0.0295539,9, 1.88135
0.030945,9, 1.83338
0.0330001,9, 1.78659
0.0345469,9, 1.74072
0.0360306,9, 1.69504
0.0375183,9, 1.65033
0.0132685,9, 1.60705
0.0146022,9, 1.56453
0.0165684,9, 1.52323
0.0187803,9, 1.48272
0.0207409,9, 1.44345
0.0233154,9, 1.40587
0.0255248,9, 1.36889
0.0281068,9, 1.33249
0.0304857,9, 1.29709
0.0329702,9, 1.26265
0.0352332,9, 1.22891
0.0376442,9, 1.19609
0.0405029,9, 1.16354
0.0431578,9, 1.1319
0.0455362,9, 1.102
0.0476297,9, 1.07254
0.0496429,9, 1.04423
0.052507,9, 1.01675
0.0550513,9, 0.989909
0.0574857,9, 0.964607
0.0593844,9, 0.939463
0.0612199,9, 0.914358
0.0627391,9, 0.890132
0.0650976,9, 0.866659
0.067168,9, 0.844028
0.068984,9, 0.822401
0.0719196,9, 0.801251
0.0727957,9, 0.780502
0.0753872,9, 0.760319
0.0767278,9, 0.740836
0.0786401,9, 0.72179
0.0810065,9, 0.703889
0.0831933,9, 0.687165
0.0832942,9, 0.670874
0.0862745,9, 0.6546
0.0868842,9, 0.638449
0.0885345,9, 0.62275
0.0907612,9, 0.607543
0.0926472,9, 0.592657
0.0948643,9, 0.578441
0.0962526,9, 0.564242
0.0974369,9, 0.55071
0.0980743,9, 0.537745
0.100799,9, 0.525315
0.101403,9, 0.513149
0.101808,9, 0.501229
0.102602,9, 0.489814
0.104954,9, 0.478653
0.105865,9, 0.467681
0.10562,9, 0.457316
0.10683,9, 0.447085
0.109239,9, 0.436805
0.109118,9, 0.427101
0.111023,9, 0.41757
0.112245,9, 0.408678
0.113359,9, 0.399775
0.115118,9, 0.391308
0.115892,9, 0.383245
0.117701,9, 0.375543
0.117596,9, 0.368063
0.119684,9, 0.360909
