Loss,Compute_Time_s,Entropy
-0.000567627,10, 2.82022
-0.000571696,9, 2.6418
-0.000566101,9, 2.4854
-0.000557836,9, 2.34038
-0.000563685,9, 2.20195
-0.000560633,10, 2.06951
-0.000568517,9, 1.94375
-0.000556056,9, 1.82337
-0.000561523,11, 1.70987
-0.000566101,9, 1.60279
-0.000555293,9, 1.50188
-0.000564067,9, 1.40885
-0.000556819,9, 1.32325
-0.000562032,9, 1.24268
-0.000559362,9, 1.16937
-0.000571823,10, 1.10181
-0.000564194,9, 1.03967
-0.000566737,9, 0.981397
-0.000565338,10, 0.926295
-0.000559108,9, 0.876241
-0.000569661,9, 0.829812
-0.000570297,9, 0.786663
-0.000567754,9, 0.746463
-0.000564957,9, 0.708751
-0.000567118,9, 0.674346
-0.000565592,9, 0.642775
-0.000570552,9, 0.613691
-0.000563685,9, 0.586356
-0.000572332,9, 0.560363
-0.000571696,9, 0.535762
-0.000573858,9, 0.51287
-0.000570679,9, 0.491444
-0.00057195,9, 0.471447
-0.000581869,9, 0.452205
-0.000574621,9, 0.434403
-0.000568771,9, 0.417854
-0.000576528,9, 0.401956
-0.000572713,9, 0.387004
-0.000576401,9, 0.372948
-0.0005778,9, 0.359514
-0.00057958,9, 0.347229
-0.000576782,9, 0.33597
-0.000575129,9, 0.325219
-0.000578435,9, 0.314968
-0.000576146,9, 0.30525
-0.000571442,9, 0.295887
-0.000570552,9, 0.286892
-0.000579071,9, 0.277956
-0.000569661,9, 0.269847
-0.000571187,9, 0.262417
-0.000560506,9, 0.255353
-0.000575129,9, 0.248567
-0.000576274,9, 0.242245
-0.000568771,9, 0.235347
-0.000578817,9, 0.229126
-0.000565974,9, 0.222922
-0.000562286,9, 0.217001
-0.000567627,9, 0.211294
-0.000578817,9, 0.205746
-0.000576909,9, 0.20019
-0.000579325,9, 0.19483
-0.000575384,9, 0.189812
-0.000579453,9, 0.185109
-0.000572077,9, 0.180436
-0.000579453,9, 0.176458
-0.00056928,9, 0.172541
-0.000579834,9, 0.168487
-0.000569534,9, 0.164578
-0.000572332,9, 0.160506
-0.000569916,10, 0.156588
-0.000563558,9, 0.153048
-0.000574366,11, 0.149874
-0.000576909,11, 0.146579
-0.000569026,11, 0.143384
-0.000583649,11, 0.140312
-0.000579453,10, 0.137771
-0.00058581,12, 0.13508
-0.000570043,11, 0.132415
-0.000577418,11, 0.12981
-0.000575765,10, 0.127482
-0.000572968,11, 0.125147
-0.000574748,10, 0.122871
-0.000565338,9, 0.120442
-0.000581869,9, 0.118025
-0.000567373,9, 0.115775
-0.000555801,9, 0.113744
-0.000557454,9, 0.112148
-0.000563431,9, 0.110489
-0.000568008,11, 0.108823
-0.000578817,9, 0.107253
-0.000574239,10, 0.105578
-0.000566355,11, 0.103782
-0.000572586,9, 0.101878
-0.000562795,9, 0.100053
-0.000572332,9, 0.0981599
-0.000571315,9, 0.0965276
-0.000574875,10, 0.094894
-0.000561905,10, 0.0932798
-0.000572968,9, 0.0915044
-0.000570424,9, 0.0899351
