Index,Label,Prediction,Reward,Correct
660000,5,0,-2.16156,0
660020,0,0,-2.16225,1
660040,4,0,-2.12301,0
660060,1,0,-2.17138,0
660080,9,0,-2.17331,0
660100,2,0,-2.47217,0
660120,1,0,-2.14828,0
660140,3,0,-2.22918,0
660160,1,0,-2.18331,0
660180,4,0,-2.1631,0
660200,3,0,-2.55475,0
660220,5,0,-2.12612,0
660240,3,0,-2.27382,0
660260,6,0,-2.13504,0
660280,1,0,-2.07642,0
660300,7,0,-5.62771,0
660320,2,0,-2.2833,0
660340,8,0,-2.13114,0
660360,6,0,-2.11123,0
660380,9,0,-2.15955,0
664000,4,0,-2.13336,0
664020,0,0,-2.08047,1
664040,9,0,-2.10536,0
664060,1,0,-2.14495,0
664080,1,0,-2.12593,0
664100,2,0,-2.72115,0
664120,4,0,-2.16303,0
664140,3,0,-2.24564,0
664160,2,0,-2.47405,0
664180,7,0,-5.42186,0
664200,3,0,-2.42941,0
664220,8,0,-2.09962,0
664240,6,0,-2.16334,0
664260,9,0,-2.13228,0
664280,0,0,-2.12384,1
664300,5,0,-2.14512,0
664320,6,0,-2.14579,0
664340,0,0,-2.11731,1
664360,7,0,-4.83071,0
664380,6,0,-2.11606,0
668000,1,0,-2.13861,0
668020,8,0,-2.13617,0
668040,7,0,-5.35586,0
668060,9,0,-2.12093,0
668080,3,0,-2.3119,0
668100,9,0,-2.15965,0
668120,8,0,-2.12839,0
668140,5,0,-2.12953,0
668160,9,0,-2.11554,0
668180,3,0,-2.63332,0
668200,3,0,-2.34348,0
668220,0,0,-2.15297,1
668240,7,0,-4.83478,0
668260,4,0,-2.09627,0
668280,9,0,-2.1231,0
668300,8,0,-2.13961,0
668320,0,0,-2.14976,1
668340,9,0,-2.14874,0
668360,4,0,-2.11719,0
668380,1,0,-2.15832,0
672000,4,0,-2.1575,0
672020,4,0,-2.15535,0
672040,6,0,-2.16631,0
672060,0,0,-2.16639,1
672080,4,0,-2.14998,0
672100,5,0,-2.17539,0
672120,6,0,-2.16041,0
672140,1,0,-2.14827,0
672160,0,0,-2.14722,1
672180,0,0,-2.16609,1
672200,1,0,-2.15016,0
672220,7,0,-5.84927,0
672240,1,0,-2.17491,0
672260,6,0,-2.17245,0
672280,3,0,-2.24249,0
672300,0,0,-2.17849,1
672320,2,0,-2.5801,0
672340,1,0,-2.15499,0
672360,1,0,-2.18578,0
672380,7,0,-4.72158,0
676000,9,0,-2.19309,0
676020,0,0,-2.19267,1
676040,2,0,-2.57366,0
676060,6,0,-2.17223,0
676080,7,0,-5.7748,0
676100,8,0,-2.15505,0
676120,3,0,-2.37565,0
676140,9,0,-2.14053,0
676160,0,0,-2.1812,1
676180,4,0,-2.18313,0
676200,6,0,-2.16435,0
676220,7,0,-4.10076,0
676240,4,0,-2.18739,0
676260,6,0,-2.18917,0
676280,8,0,-2.1603,0
676300,0,0,-2.18612,1
676320,7,0,-4.40994,0
676340,8,0,-2.1603,0
676360,3,0,-2.23178,0
676380,1,0,-2.14035,0
680000,5,0,-2.10914,0
680020,7,0,-5.65507,0
680040,1,0,-2.15201,0
680060,7,0,-5.33065,0
680080,1,0,-2.12933,0
680100,1,0,-2.1636,0
680120,6,0,-2.14796,0
680140,3,0,-2.45204,0
680160,0,0,-2.10107,1
680180,2,0,-2.42732,0
680200,9,0,-2.192,0
680220,3,0,-2.49817,0
680240,1,0,-2.09046,0
680260,1,0,-2.09941,0
680280,0,0,-2.12579,1
680300,4,0,-2.15438,0
680320,9,0,-2.10833,0
680340,2,0,-2.80662,0
680360,0,0,-2.17924,1
680380,0,0,-2.13366,1
684000,2,0,-2.61771,0
684020,0,0,-2.10249,1
684040,2,0,-2.5407,0
684060,7,0,-4.78759,0
684080,1,0,-2.15482,0
684100,8,0,-2.1644,0
684120,6,0,-2.18881,0
684140,4,0,-2.14729,0
684160,1,0,-2.14783,0
684180,6,0,-2.13718,0
684200,3,0,-2.32464,0
684220,4,0,-2.17146,0
684240,5,0,-2.13214,0
684260,9,0,-2.12653,0
684280,1,0,-2.17535,0
684300,3,0,-2.29388,0
684320,3,0,-2.43238,0
684340,8,0,-2.14281,0
684360,5,0,-2.16985,0
684380,4,0,-2.11597,0
688000,7,0,-5.00397,0
688020,7,0,-4.75779,0
688040,4,0,-2.15846,0
688060,2,0,-2.30105,0
688080,8,0,-2.18646,0
688100,5,0,-2.15054,0
688120,8,0,-2.16788,0
688140,6,0,-2.17316,0
688160,7,0,-4.93922,0
688180,3,0,-2.21586,0
688200,4,0,-2.1612,0
688220,6,0,-2.19828,0
688240,1,0,-2.15169,0
688260,9,0,-2.1247,0
688280,9,0,-2.168,0
688300,6,0,-2.1621,0
688320,0,0,-2.13926,1
688340,3,0,-2.37446,0
688360,7,0,-5.61578,0
688380,2,0,-2.20274,0
692000,8,0,-2.17528,0
692020,2,0,-2.48122,0
692040,9,0,-2.13258,0
692060,4,0,-2.18787,0
692080,4,0,-2.16154,0
692100,6,0,-2.11843,0
692120,4,0,-2.14929,0
692140,9,0,-2.12474,0
692160,7,0,-5.34068,0
692180,0,0,-2.19846,1
692200,9,0,-2.17758,0
692220,2,0,-2.46851,0
692240,9,0,-2.18672,0
692260,5,0,-2.16141,0
692280,1,0,-2.12089,0
692300,5,0,-2.13529,0
692320,9,0,-2.16188,0
692340,1,0,-2.14705,0
692360,2,0,-2.23368,0
692380,3,0,-2.22349,0
696000,2,0,-2.59949,0
696020,3,0,-2.31352,0
696040,5,0,-2.15181,0
696060,9,0,-2.17015,0
696080,1,0,-2.17828,0
696100,7,0,-4.80846,0
696120,6,0,-2.10918,0
696140,2,0,-2.46783,0
696160,8,0,-2.16427,0
696180,2,0,-2.92799,0
696200,2,0,-2.83501,0
696220,5,0,-2.15714,0
696240,0,0,-2.18872,1
696260,7,0,-4.8826,0
696280,4,0,-2.10754,0
696300,9,0,-2.12325,0
696320,7,0,-5.62464,0
696340,8,0,-2.1587,0
696360,3,0,-2.41572,0
696380,2,0,-2.87398,0
700000,1,0,-2.14116,0
700020,1,0,-2.14495,0
700040,8,0,-2.19454,0
700060,3,0,-2.27654,0
700080,6,0,-2.14676,0
700100,1,0,-2.15091,0
700120,0,0,-2.13525,1
700140,3,0,-2.22943,0
700160,1,0,-2.15856,0
700180,0,0,-2.13874,1
700200,0,0,-2.13981,1
700220,1,0,-2.15258,0
700240,7,0,-4.66897,0
700260,2,0,-2.3809,0
700280,7,0,-5.5429,0
700300,3,0,-2.50177,0
700320,0,0,-2.15655,1
700340,4,0,-2.17045,0
700360,6,0,-2.14542,0
700380,5,0,-2.12256,0
704000,2,0,-2.40012,0
704020,6,0,-2.16985,0
704040,4,0,-2.13501,0
704060,7,0,-4.86276,0
704080,1,0,-2.17457,0
704100,8,0,-2.17979,0
704120,9,0,-2.18099,0
704140,9,0,-2.16254,0
704160,3,0,-2.26927,0
704180,0,0,-2.18012,1
704200,7,0,-4.57919,0
704220,1,0,-2.15421,0
704240,0,0,-2.17173,1
704260,2,0,-2.37765,0
704280,0,0,-2.14598,1
704300,3,0,-2.1969,0
704320,5,0,-2.19827,0
704340,4,0,-2.17796,0
704360,6,0,-2.15913,0
704380,5,0,-2.16472,0
708000,8,0,-2.16113,0
708020,6,0,-2.16281,0
708040,3,0,-2.21607,0
708060,7,0,-5.21719,0
708080,5,0,-2.1558,0
708100,8,0,-2.17058,0
708120,0,0,-2.19313,1
708140,9,0,-2.16986,0
708160,1,0,-2.18177,0
708180,0,0,-2.17485,1
708200,3,0,-2.1993,0
708220,1,0,-2.17321,0
708240,2,0,-2.55262,0
708260,2,0,-2.6063,0
708280,3,0,-2.19182,0
708300,3,0,-2.23067,0
708320,6,0,-2.16683,0
708340,4,0,-2.15022,0
708360,7,0,-4.75607,0
708380,5,0,-2.17983,0
712000,0,0,-2.16133,1
712020,6,0,-2.16684,0
712040,2,0,-2.37667,0
712060,7,0,-4.26045,0
712080,9,0,-2.15121,0
712100,8,0,-2.16367,0
712120,5,0,-2.17507,0
712140,9,0,-2.18104,0
712160,2,0,-2.47738,0
712180,1,0,-2.19415,0
712200,1,0,-2.187,0
712220,4,0,-2.19127,0
712240,4,0,-2.15872,0
712260,5,0,-2.18106,0
712280,6,0,-2.19167,0
712300,4,0,-2.1729,0
712320,1,0,-2.16814,0
712340,2,0,-2.27544,0
712360,5,0,-2.15212,0
712380,3,0,-2.28934,0
716000,9,0,-2.16315,0
716020,3,0,-2.36814,0
716040,9,0,-2.1492,0
716060,0,0,-2.18493,1
716080,5,0,-2.19936,0
716100,9,0,-2.16257,0
716120,6,0,-2.14387,0
716140,5,0,-2.17832,0
716160,7,0,-5.4198,0
716180,4,0,-2.13205,0
716200,1,0,-2.1613,0
716220,3,0,-2.19162,0
716240,4,0,-2.18039,0
716260,0,0,-2.13728,1
716280,4,0,-2.1342,0
716300,8,0,-2.16814,0
716320,0,0,-2.16759,1
716340,4,0,-2.15239,0
716360,3,0,-2.2249,0
716380,6,0,-2.18914,0
720000,8,0,-2.16977,0
720020,7,0,-4.45711,0
720040,6,0,-2.19208,0
720060,0,0,-2.18101,1
720080,9,0,-2.13726,0
720100,7,0,-4.52775,0
720120,5,0,-2.17486,0
720140,7,0,-4.00946,0
720160,2,0,-2.76488,0
720180,1,0,-2.17206,0
720200,1,0,-2.16819,0
720220,6,0,-2.15135,0
720240,8,0,-2.15973,0
720260,9,0,-2.16759,0
720280,4,0,-2.17642,0
720300,1,0,-2.15111,0
720320,5,0,-2.13447,0
720340,2,0,-2.32668,0
720360,2,0,-2.2005,0
720380,9,0,-2.17136,0
724000,0,0,-2.20197,1
724020,3,0,-2.21146,0
724040,9,0,-2.20035,0
724060,6,0,-2.19592,0
724080,7,0,-4.14622,0
724100,2,0,-2.23139,0
724120,0,0,-2.20118,1
724140,3,0,-2.20149,0
724160,5,0,-2.18499,0
724180,4,0,-2.17997,0
724200,3,0,-2.20384,0
724220,6,0,-2.19888,0
724240,5,0,-2.18613,0
724260,8,0,-2.20207,0
724280,9,0,-2.19868,0
724300,5,0,-2.19555,0
724320,4,0,-2.19181,0
724340,7,0,-3.18312,0
724360,4,0,-2.18638,0
724380,2,0,-2.46665,0
728000,7,0,-3.27828,0
728020,3,0,-2.20563,0
728040,4,0,-2.20037,0
728060,8,0,-2.20078,0
728080,9,0,-2.20922,0
728100,1,0,-2.20479,0
