Epoch,CurrentTime,ComputeTime,DataType,SamplesTotal,SamplesCorrect,Entropy,Accuracy,Loss
0,13:32:26,0,Validation,1,1,2.33788,100,-0.0001139
0,13:32:26,0,Training,1,1,2.33788,100,-0.000113095
1,13:32:28,0,Validation,1,1,2.31367,100,-9.93282e-05
1,13:32:28,0,Training,1,1,2.31367,100,-9.91044e-05
2,13:32:30,0,Validation,1,1,2.28864,100,-8.92074e-05
2,13:32:30,1,Training,1,1,2.28864,100,-8.80546e-05
3,13:32:31,0,Validation,1,1,2.26371,100,-6.73057e-05
3,13:32:31,0,Training,1,1,2.26371,100,-6.65256e-05
4,13:32:33,0,Validation,1,1,2.23927,100,-4.78625e-05
4,13:32:33,0,Training,1,1,2.23927,100,-4.81936e-05
5,13:32:35,1,Validation,1,1,2.2154,100,-1.99264e-05
5,13:32:35,0,Training,1,1,2.2154,100,-2.09946e-05
6,13:32:36,0,Validation,1,1,2.19214,100,-8.2744e-06
6,13:32:36,0,Training,1,1,2.19214,100,-7.62661e-06
7,13:32:38,0,Validation,1,1,2.16954,100,-4.61796e-06
7,13:32:38,0,Training,1,1,2.16954,100,-8.34506e-07
8,13:32:40,0,Validation,1,1,2.14763,100,-4.27767e-08
8,13:32:40,0,Training,1,1,2.14763,100,-3.19663e-10
9,13:32:42,0,Validation,1,1,2.12639,100,0
9,13:32:42,1,Training,1,1,2.12639,100,0
10,13:32:42,0,Test,1,1,2.12639,100,0
