Index,Label,Prediction,Reward,Correct
0,5,1,-97.7033,0
20,5,5,0,1
40,0,9,-80.1225,0
60,7,7,0,1
80,1,1,0,1
100,8,8,0,1
120,5,3,-424.153,0
140,0,6,-252.141,0
160,2,0,-38.1956,0
180,6,6,0,1
200,7,7,0,1
220,2,8,-662.663,0
240,7,7,0,1
260,8,8,0,1
280,4,4,0,1
300,0,7,-45.351,0
320,6,6,0,1
340,3,3,0,1
360,1,1,0,1
380,8,8,0,1
400,2,2,0,1
420,0,0,0,1
440,9,4,-425.742,0
460,4,4,-4.76243e-06,1
480,0,8,-600.421,0
500,6,6,0,1
520,9,3,-119.898,0
540,4,4,-1.45439e-13,1
560,0,0,0,1
580,6,6,0,1
600,9,1,-262.209,0
620,5,5,0,1
640,8,8,0,1
660,2,4,-91.4133,0
680,2,3,-202.643,0
700,3,3,0,1
720,8,8,0,1
740,1,1,0,1
760,3,3,0,1
780,6,6,0,1
800,1,1,0,1
820,2,1,-175.35,0
840,5,1,-375.848,0
860,7,1,-67.6574,0
880,8,8,0,1
900,8,8,0,1
920,1,1,0,1
940,9,4,-412.299,0
960,4,4,0,1
980,1,1,0,1
1000,5,5,-0.012213,1
1020,9,4,-231.351,0
1040,1,1,0,1
1060,4,3,-367.058,0
1080,1,1,0,1
1100,6,6,0,1
1120,4,4,0,1
1140,0,8,-132.312,0
1160,8,3,-425.091,0
1180,5,5,0,1
1200,2,2,0,1
1220,2,3,-484.232,0
1240,1,1,0,1
1260,6,6,0,1
1280,0,0,0,1
1300,3,3,0,1
1320,2,0,-115.26,0
1340,7,3,-68.0959,0
1360,0,0,0,1
1380,1,1,0,1
1400,4,4,0,1
1420,0,0,0,1
1440,9,7,-248.185,0
1460,7,7,-0.000232152,1
1480,2,2,0,1
1500,0,0,0,1
1520,2,8,-9.1955,0
1540,1,1,0,1
1560,3,3,0,1
1580,6,3,-252.043,0
1600,9,4,-213.951,0
1620,7,9,-3.55913,0
1640,6,6,0,1
1660,1,1,0,1
1680,9,9,0,1
1700,2,2,0,1
1720,1,1,0,1
1740,9,9,0,1
1760,1,1,0,1
1780,6,6,0,1
1800,7,1,-382.729,0
1820,6,6,0,1
1840,8,3,-618.085,0
1860,8,3,-241.216,0
1880,9,9,0,1
1900,7,1,-337.198,0
1920,5,8,-74.9679,0
1940,3,6,-29.2948,0
1960,4,4,0,1
1980,8,8,0,1
2000,5,5,-0.00130001,1
2020,0,3,-506.451,0
2040,8,3,-132.856,0
2060,3,3,0,1
2080,9,9,0,1
2100,7,7,0,1
2120,3,3,0,1
2140,5,3,-376.953,0
2160,7,7,0,1
2180,4,4,0,1
2200,8,8,0,1
2220,9,4,-367.162,0
2240,1,8,-146.268,0
2260,2,3,-751.382,0
2280,9,4,-10.0321,0
2300,9,1,-181.373,0
2320,3,3,0,1
2340,5,3,-188.116,0
2360,4,1,-261.873,0
2380,1,1,0,1
2400,7,7,0,1
2420,8,8,0,1
2440,1,1,0,1
2460,9,9,0,1
2480,5,8,-66.2584,0
2500,1,1,0,1
2520,1,1,0,1
2540,9,9,0,1
2560,0,0,0,1
2580,8,1,-883.32,0
2600,1,1,0,1
2620,3,3,0,1
2640,6,6,0,1
2660,1,1,0,1
2680,5,5,0,1
2700,0,5,-250.28,0
2720,3,3,0,1
2740,1,1,0,1
2760,8,8,0,1
2780,3,3,0,1
2800,5,5,0,1
2820,8,8,0,1
2840,2,3,-971.769,0
2860,4,4,0,1
2880,3,3,0,1
2900,5,3,-505.934,0
2920,4,1,-661.774,0
2940,4,4,0,1
2960,8,3,-481.953,0
2980,0,6,-393.391,0
3000,4,4,0,1
3020,4,4,0,1
3040,7,7,0,1
3060,3,3,0,1
3080,1,1,0,1
3100,4,4,0,1
3120,6,6,0,1
3140,0,0,0,1
3160,1,1,0,1
3180,6,6,0,1
3200,0,0,0,1
3220,9,4,-577.104,0
3240,8,8,0,1
3260,7,1,-305.399,0
3280,1,1,0,1
3300,7,7,-1.28786e-14,1
3320,4,4,-0.00284048,1
3340,9,9,0,1
3360,0,6,-607.482,0
3380,6,0,-557.48,0
3400,0,3,-301.706,0
3420,4,4,0,1
3440,8,8,0,1
3460,9,1,-25.5785,0
3480,1,1,0,1
3500,5,3,-219.545,0
3520,7,9,-24.012,0
3540,7,9,-147.649,0
3560,8,3,-228.884,0
3580,4,4,0,1
3600,7,7,0,1
3620,7,7,0,1
3640,2,6,-437.433,0
3660,2,8,-316.646,0
3680,2,2,0,1
3700,6,6,0,1
3720,2,2,0,1
3740,8,3,-253.476,0
3760,4,4,0,1
3780,6,6,-5.00421e-10,1
3800,6,1,-121.234,0
3820,6,3,-66.4841,0
3840,2,8,-376.455,0
3860,8,8,0,1
3880,5,7,-402.569,0
3900,4,9,-117.269,0
3920,1,1,0,1
3940,0,0,0,1
3960,0,6,-43.8339,0
3980,3,3,0,1
4000,0,8,-150.6,0
4020,9,4,-81.0923,0
4040,7,9,-299.697,0
4060,5,3,-724.269,0
4080,2,0,-298.594,0
4100,4,4,0,1
4120,7,9,-76.6204,0
4140,6,6,0,1
4160,2,2,0,1
4180,6,6,0,1
4200,7,7,0,1
4220,3,3,0,1
4240,1,1,0,1
4260,1,1,0,1
4280,2,2,0,1
4300,9,4,-268.931,0
4320,9,9,0,1
4340,1,1,0,1
4360,6,6,0,1
4380,1,1,0,1
4400,6,6,0,1
4420,3,1,-173.977,0
4440,8,3,-587.957,0
4460,6,6,0,1
4480,0,0,0,1
4500,1,1,0,1
4520,6,9,-13.4186,0
4540,0,8,-530.144,0
4560,2,8,-739.167,0
4580,8,1,-0.998864,0
4600,2,4,-83.1427,0
4620,1,1,0,1
4640,6,6,0,1
4660,5,3,-66.3131,0
4680,8,8,0,1
4700,2,5,-149.116,0
4720,8,8,0,1
4740,8,8,0,1
4760,7,1,-427.274,0
4780,7,7,0,1
4800,7,9,-151.686,0
4820,0,3,-388.178,0
4840,2,1,-73.0044,0
4860,2,1,-763.478,0
4880,1,1,0,1
4900,5,3,-205.529,0
4920,6,6,0,1
4940,5,5,0,1
4960,0,0,0,1
4980,5,5,0,1
5000,2,2,0,1
5020,7,1,-556.256,0
5040,3,1,-139.096,0
5060,2,2,-1.09359e-07,1
5080,9,4,-306.855,0
5100,6,6,0,1
5120,5,5,0,1
5140,0,0,0,1
5160,8,6,-169.807,0
5180,2,4,-290.03,0
5200,6,6,0,1
5220,6,6,0,1
5240,0,0,0,1
5260,8,8,0,1
5280,9,9,0,1
5300,6,6,0,1
5320,3,3,0,1
5340,2,1,-633.115,0
5360,1,1,0,1
5380,8,8,0,1
5400,0,0,0,1
5420,0,6,-1.16544,0
5440,5,3,-734.372,0
5460,5,3,-960.573,0
5480,3,3,0,1
5500,3,3,0,1
5520,4,4,0,1
5540,6,0,-199.039,0
5560,8,1,-565.693,0
5580,6,6,0,1
5600,0,0,0,1
5620,0,4,-272.444,0
5640,0,6,-253.626,0
5660,8,3,-2.00738,0
5680,9,5,-114.467,0
5700,3,3,0,1
5720,2,2,0,1
5740,1,1,0,1
5760,2,2,0,1
5780,7,3,-119.681,0
5800,2,8,-461.263,0
5820,2,2,0,1
5840,2,2,0,1
5860,2,2,0,1
5880,1,1,0,1
5900,1,1,0,1
5920,2,2,0,1
5940,3,6,-293.304,0
5960,9,9,0,1
5980,8,3,-530.989,0
6000,7,1,-498.168,0
6020,4,9,-57.1601,0
6040,8,1,-286.497,0
6060,8,8,0,1
6080,3,3,0,1
6100,6,6,0,1
6120,8,3,-161.924,0
6140,5,3,-913.716,0
6160,3,3,0,1
6180,4,4,0,1
6200,7,7,0,1
6220,7,1,-85.2782,0
6240,7,7,-0.00137327,1
6260,5,8,-23.0145,0
6280,6,6,0,1
6300,3,3,0,1
6320,9,4,-294.848,0
6340,2,2,0,1
6360,2,2,0,1
6380,4,4,0,1
6400,0,0,0,1
6420,0,0,-1.83462e-10,1
6440,9,4,-126.769,0
6460,2,6,-64.6495,0
6480,9,9,0,1
6500,7,3,-335.178,0
6520,6,6,0,1
6540,5,3,-456.874,0
6560,6,6,0,1
6580,7,0,-261.099,0
6600,2,4,-1309.23,0
6620,6,6,0,1
6640,2,2,0,1
6660,6,6,0,1
6680,4,4,0,1
6700,0,0,0,1
6720,0,6,-146.83,0
6740,6,0,-90.9379,0
6760,2,2,0,1
6780,5,3,-366.843,0
6800,7,1,-572.142,0
6820,6,6,0,1
6840,0,0,0,1
6860,8,6,-209.857,0
6880,6,6,0,1
6900,1,1,0,1
6920,4,1,-663.701,0
6940,5,5,-1.80771e-11,1
6960,2,2,0,1
6980,7,7,0,1
7000,2,3,-15.8609,0
7020,0,3,-186.045,0
7040,4,4,0,1
7060,3,3,0,1
7080,8,8,0,1
7100,7,7,0,1
7120,5,8,-120.133,0
7140,2,2,0,1
7160,8,8,0,1
7180,2,2,0,1
7200,8,1,-157.906,0
7220,7,9,-4.9019,0
7240,1,1,0,1
7260,8,3,-296.828,0
7280,1,1,0,1
7300,5,5,0,1
7320,8,8,0,1
7340,3,3,0,1
7360,5,1,-6.13633,0
7380,6,0,-148.284,0
7400,0,0,0,1
7420,5,6,-537.346,0
7440,0,5,-220.476,0
7460,0,0,0,1
7480,2,2,0,1
7500,2,2,0,1
7520,6,6,0,1
7540,3,3,0,1
7560,9,4,-545.447,0
7580,4,9,-99.7429,0
7600,8,3,-246.972,0
7620,1,1,0,1
7640,0,6,-184.665,0
7660,1,1,0,1
7680,6,6,0,1
7700,3,3,0,1
7720,4,4,0,1
7740,3,5,-210.89,0
