Index,Label,Prediction,Reward,Correct
0,5,3,-136.021,0
20,0,0,0,1
40,4,4,0,1
60,1,1,0,1
80,9,7,-139.174,0
100,2,2,0,1
120,1,1,0,1
140,3,3,0,1
160,1,1,0,1
180,4,5,-36.6681,0
200,3,1,-5.96852,0
220,5,1,-8.42575,0
240,3,2,-9.82133,0
260,6,6,0,1
280,1,1,0,1
300,7,7,0,1
320,2,2,-2.32783e-07,1
340,8,8,-8.85386e-07,1
360,6,6,-0.000139898,1
380,9,7,-89.9489,0
400,4,4,0,1
420,0,0,0,1
440,9,1,-15.7754,0
460,1,1,0,1
480,1,6,-40.4383,0
500,2,2,0,1
520,4,9,-63.9957,0
540,3,3,0,1
560,2,2,0,1
580,7,1,-8.23007,0
600,3,2,-81.1319,0
620,8,1,-309.26,0
640,6,6,0,1
660,9,7,-97.1532,0
680,0,8,-143.272,0
700,5,5,0,1
720,6,6,0,1
740,0,0,0,1
760,7,7,0,1
780,6,6,0,1
800,1,1,0,1
820,8,8,0,1
840,7,7,0,1
860,9,5,-40.7701,0
880,3,3,-4.37428e-14,1
900,9,7,-97.8638,0
920,8,7,-19.2851,0
940,5,5,0,1
960,9,3,-124.851,0
980,3,3,0,1
1000,3,2,-3.793,0
1020,0,0,0,1
1040,7,7,0,1
1060,4,1,-247.085,0
1080,9,7,-9.48944,0
1100,8,7,-96.3319,0
1120,0,0,0,1
1140,9,9,-3.41949e-14,1
1160,4,4,0,1
1180,1,1,0,1
1200,4,0,-270.587,0
1220,4,1,-69.034,0
1240,6,3,-86.8511,0
1260,0,0,0,1
1280,4,0,-113.817,0
1300,5,5,-8.21565e-15,1
1320,6,6,0,1
1340,1,1,0,1
1360,0,2,-33.3447,0
1380,0,5,-61.3621,0
1400,1,1,0,1
1420,7,7,0,1
1440,1,1,0,1
1460,6,6,0,1
1480,3,3,0,1
1500,0,0,0,1
1520,2,1,-133.813,0
1540,1,1,0,1
1560,1,1,0,1
1580,7,7,0,1
1600,9,2,-207.272,0
1620,0,5,-69.6596,0
1640,2,2,0,1
1660,6,6,0,1
1680,7,7,0,1
1700,8,8,-3.59046e-13,1
1720,3,2,-82.3404,0
1740,9,7,-144.413,0
1760,0,0,-8.88178e-16,1
1780,4,4,0,1
1800,6,6,0,1
1820,7,7,0,1
1840,4,4,0,1
1860,6,1,-44.3064,0
1880,8,8,-2.68466e-10,1
1900,0,7,-31.234,0
1920,7,7,0,1
1940,8,8,0,1
1960,3,3,0,1
1980,1,1,0,1
2000,5,5,0,1
2020,7,7,0,1
2040,1,1,0,1
2060,7,7,0,1
2080,1,1,0,1
2100,1,1,0,1
2120,6,3,-32.1915,0
2140,3,3,0,1
2160,0,0,0,1
2180,2,5,-52.6936,0
2200,9,7,-166.413,0
2220,3,3,0,1
2240,1,1,0,1
