Index,Label,Prediction,Reward,Correct
0,5,5,0,1
20,0,0,0,1
40,4,4,0,1
60,1,1,0,1
80,9,1,-695.965,0
100,2,2,0,1
120,1,1,0,1
140,3,3,0,1
160,1,1,0,1
180,4,6,-801.479,0
200,3,1,-388.244,0
220,5,1,-97.7816,0
240,3,1,-59.7096,0
260,6,6,0,1
280,1,5,-75.0809,0
300,7,7,0,1
320,2,2,0,1
340,8,8,0,1
360,6,6,0,1
380,9,6,-772.055,0
400,4,4,0,1
420,0,0,0,1
440,9,6,-721.914,0
460,1,1,0,1
480,1,1,0,1
500,2,8,-49.127,0
520,4,1,-62.0911,0
540,3,1,-197.756,0
560,2,5,-1103.27,0
580,7,7,0,1
600,3,3,0,1
620,8,8,0,1
640,6,6,0,1
660,9,7,-958.743,0
680,0,8,-1567.81,0
700,5,1,-358.897,0
720,6,6,0,1
740,0,6,-716.139,0
760,7,7,0,1
780,6,6,0,1
800,1,1,0,1
820,8,8,0,1
840,7,1,-286.497,0
860,9,1,-630.874,0
880,3,1,-391.204,0
900,9,7,-491.405,0
920,8,8,0,1
940,5,8,-373.591,0
960,9,5,-778.509,0
980,3,1,-618.552,0
1000,3,1,-62.8731,0
1020,0,0,0,1
1040,7,7,0,1
1060,4,1,-778.432,0
1080,9,7,-725.127,0
1100,8,8,0,1
1120,0,5,-402.694,0
1140,9,7,-600.06,0
1160,4,4,0,1
1180,1,1,0,1
1200,4,0,-1080.36,0
1220,4,6,-1025.2,0
1240,6,6,0,1
1260,0,1,-71.2422,0
1280,4,5,-161.544,0
1300,5,6,-281.08,0
1320,6,6,0,1
1340,1,1,0,1
1360,0,0,0,1
1380,0,5,-1235.55,0
1400,1,5,-1107.93,0
1420,7,7,0,1
1440,1,1,0,1
1460,6,6,0,1
1480,3,5,-85.6174,0
1500,0,1,-371.622,0
1520,2,1,-1235.95,0
1540,1,1,0,1
1560,1,1,0,1
1580,7,7,0,1
1600,9,5,-834.328,0
1620,0,6,-773.621,0
1640,2,8,-356.61,0
1660,6,6,0,1
1680,7,7,0,1
1700,8,8,0,1
1720,3,5,-530.945,0
1740,9,7,-1019.53,0
1760,0,0,0,1
1780,4,4,0,1
1800,6,6,0,1
1820,7,7,0,1
1840,4,4,0,1
1860,6,6,0,1
1880,8,8,0,1
1900,0,5,-787.923,0
1920,7,7,-3.83189e-11,1
1940,8,8,0,1
1960,3,3,0,1
1980,1,1,0,1
2000,5,6,-379.376,0
2020,7,7,0,1
2040,1,1,0,1
2060,7,7,0,1
2080,1,5,-847.082,0
2100,1,1,0,1
2120,6,3,-412.884,0
2140,3,3,0,1
2160,0,0,0,1
2180,2,5,-984.118,0
2200,9,1,-590.5,0
2220,3,3,0,1
2240,1,1,0,1
2260,1,1,0,1
2280,0,0,0,1
2300,4,4,-5.47118e-13,1
2320,9,7,-669.981,0
2340,2,1,-265.122,0
2360,0,0,0,1
2380,0,0,0,1
2400,2,5,-770.427,0
2420,0,0,0,1
2440,2,8,-342.218,0
2460,7,7,0,1
2480,1,1,0,1
2500,8,8,0,1
2520,6,5,-214.2,0
2540,4,6,-518.2,0
2560,1,1,0,1
2580,6,6,0,1
2600,3,1,-141.676,0
2620,4,6,-250.378,0
2640,5,4,-155.13,0
2660,9,1,-663.822,0
2680,1,5,-1397.13,0
2700,3,1,-41.2122,0
2720,3,3,0,1
2740,8,8,0,1
2760,5,5,-0.00157739,1
2780,4,6,-585.679,0
2800,7,1,-269.734,0
2820,7,1,-215.777,0
2840,4,4,0,1
2860,2,1,-952.38,0
2880,8,5,-126.883,0
2900,5,6,-221.043,0
2920,8,8,0,1
2940,6,6,0,1
2960,7,5,-4.41403,0
2980,3,3,0,1
3000,4,1,-646.806,0
3020,6,6,0,1
3040,1,1,0,1
3060,9,1,-440.38,0
3080,9,7,-540.635,0
3100,6,6,0,1
3120,0,0,0,1
3140,3,3,0,1
3160,7,0,-92.2383,0
3180,2,8,-278.643,0
3200,8,3,-938.564,0
3220,2,2,0,1
3240,9,1,-275.572,0
3260,4,1,-369.703,0
3280,4,0,-124.843,0
3300,6,6,0,1
3320,4,6,-130.406,0
3340,9,7,-847.547,0
3360,7,8,-975.243,0
3380,0,5,-1343.19,0
3400,9,7,-332.011,0
3420,2,2,0,1
3440,9,7,-969.379,0
3460,5,1,-393.515,0
3480,1,1,0,1
3500,5,1,-128.832,0
3520,9,1,-1096.99,0
3540,1,1,0,1
3560,2,0,-472.218,0
3580,3,3,0,1
3600,2,1,-1080.45,0
3620,3,8,-385.336,0
3640,5,5,0,1
3660,9,7,-510.554,0
3680,1,5,-171.179,0
3700,7,7,0,1
3720,6,8,-331.602,0
3740,2,1,-60.3148,0
3760,8,8,0,1
3780,2,1,-695.084,0
3800,2,1,-745.701,0
3820,5,6,-592.375,0
3840,0,0,0,1
3860,7,7,0,1
3880,4,4,0,1
3900,9,5,-738.474,0
3920,7,7,0,1
3940,8,8,0,1
3960,3,3,0,1
