Index,Label,Prediction,Reward,Correct
0,5,5,0,1
20,0,0,0,1
40,4,4,0,1
60,1,1,0,1
80,9,9,0,1
100,2,2,0,1
120,1,1,0,1
140,3,8,-162.519,0
160,1,1,0,1
180,4,4,0,1
200,3,1,-29.126,0
220,5,6,-5.63073,0
240,3,8,-146.86,0
260,6,6,0,1
280,1,1,0,1
300,7,9,-169.876,0
320,2,2,0,1
340,8,8,0,1
360,6,6,0,1
380,9,1,-266.921,0
400,4,4,0,1
420,0,0,0,1
440,9,6,-16.243,0
460,1,1,0,1
480,1,6,-391.61,0
500,2,2,0,1
520,4,9,-257.806,0
540,3,8,-18.642,0
560,2,7,-46.2444,0
580,7,1,-292.859,0
600,3,1,-210.804,0
620,8,1,-219.092,0
640,6,6,0,1
660,9,7,-137.883,0
680,0,8,-1247.23,0
700,5,5,0,1
720,6,6,0,1
740,0,6,-433.378,0
760,7,7,0,1
780,6,6,0,1
800,1,1,0,1
820,8,8,0,1
840,7,7,0,1
860,9,5,-213.659,0
880,3,1,-419.85,0
900,9,9,0,1
920,8,8,0,1
940,5,5,0,1
960,9,5,-336.006,0
980,3,5,-330.85,0
1000,3,3,0,1
1020,0,0,0,1
1040,7,7,0,1
1060,4,1,-597.31,0
1080,9,7,-252.915,0
1100,8,7,-99.3722,0
1120,0,5,-362.78,0
1140,9,9,0,1
1160,4,9,-29.6666,0
1180,1,1,0,1
1200,4,0,-202.219,0
1220,4,1,-253.369,0
1240,6,6,0,1
1260,0,5,-43.7953,0
1280,4,0,-50.9851,0
1300,5,1,-35.3092,0
1320,6,6,0,1
1340,1,1,0,1
1360,0,2,-304.496,0
1380,0,5,-1019.38,0
1400,1,1,-0.624035,1
1420,7,7,0,1
1440,1,1,0,1
1460,6,6,0,1
1480,3,5,-327.936,0
1500,0,8,-25.0522,0
1520,2,1,-398.338,0
1540,1,1,0,1
1560,1,1,0,1
1580,7,6,-48.1895,0
1600,9,5,-501.767,0
1620,0,5,-878.03,0
1640,2,2,0,1
1660,6,6,0,1
1680,7,7,0,1
1700,8,8,0,1
1720,3,5,-432.024,0
1740,9,9,0,1
1760,0,8,-24.0072,0
1780,4,4,0,1
1800,6,6,0,1
1820,7,7,0,1
1840,4,4,0,1
1860,6,6,0,1
1880,8,8,0,1
1900,0,8,-596.57,0
1920,7,7,0,1
1940,8,8,0,1
1960,3,1,-50.6036,0
1980,1,1,0,1
2000,5,5,0,1
2020,7,4,-267.585,0
2040,1,1,0,1
2060,7,7,0,1
2080,1,5,-245.961,0
2100,1,1,0,1
2120,6,6,0,1
2140,3,3,0,1
2160,0,2,-259.578,0
2180,2,5,-500.24,0
2200,9,4,-65.8235,0
2220,3,7,-148.634,0
2240,1,1,0,1
2260,1,1,0,1
2280,0,0,0,1
2300,4,9,-286.039,0
2320,9,9,0,1
2340,2,2,0,1
2360,0,0,0,1
2380,0,0,0,1
2400,2,7,-325.952,0
2420,0,2,-167.53,0
2440,2,6,-27.7229,0
2460,7,7,0,1
2480,1,1,0,1
2500,8,8,0,1
2520,6,6,0,1
2540,4,6,-235.732,0
2560,1,1,0,1
2580,6,6,0,1
2600,3,1,-173.597,0
2620,4,9,-37.8737,0
2640,5,1,-155.614,0
2660,9,9,0,1
2680,1,5,-1081.88,0
2700,3,3,0,1
2720,3,1,-338.468,0
2740,8,8,-5.4956e-13,1
2760,5,2,-123.956,0
2780,4,6,-176.786,0
2800,7,1,-136.109,0
2820,7,1,-449.755,0
2840,4,9,-93.0194,0
2860,2,7,-584.695,0
2880,8,5,-276.623,0
2900,5,6,-138.734,0
2920,8,8,0,1
2940,6,6,0,1
2960,7,4,-42.1055,0
2980,3,3,0,1
3000,4,1,-447.538,0
3020,6,6,0,1
3040,1,1,0,1
3060,9,9,0,1
3080,9,7,-663.582,0
3100,6,6,0,1
3120,0,0,0,1
3140,3,3,0,1
3160,7,7,0,1
3180,2,6,-57.1934,0
3200,8,1,-484.594,0
3220,2,2,0,1
3240,9,9,0,1
3260,4,1,-132.335,0
3280,4,4,0,1
3300,6,6,0,1
3320,4,4,0,1
3340,9,9,0,1
3360,7,1,-578.664,0
3380,0,5,-1079.2,0
3400,9,9,0,1
3420,2,2,0,1
3440,9,7,-359.721,0
3460,5,1,-384.819,0
3480,1,1,0,1
3500,5,5,0,1
3520,9,1,-12.6735,0
3540,1,1,0,1
3560,2,0,-231.22,0
3580,3,8,-361.22,0
3600,2,1,-415.027,0
3620,3,7,-72.9149,0
3640,5,5,0,1
3660,9,9,0,1
3680,1,1,0,1
3700,7,7,0,1
3720,6,6,0,1
3740,2,2,0,1
3760,8,8,0,1
3780,2,6,-74.693,0
3800,2,6,-638.572,0
3820,5,6,-176.582,0
3840,0,0,0,1
3860,7,4,-116.645,0
3880,4,4,0,1
3900,9,5,-105.858,0
3920,7,7,0,1
3940,8,8,0,1
3960,3,1,-403.933,0
3980,2,2,0,1
4000,1,1,0,1
4020,1,1,0,1
