Index,Label,Prediction,Reward,Correct
0,5,8,-10.3678,0
20,0,0,0,1
40,4,4,0,1
60,1,1,0,1
80,9,9,0,1
100,2,2,-0.000715227,1
120,1,1,0,1
140,3,3,0,1
160,1,1,0,1
180,4,4,0,1
200,3,3,0,1
220,5,6,-67.2979,0
240,3,2,-6.35918,0
260,6,6,0,1
280,1,1,0,1
300,7,7,0,1
320,2,2,0,1
340,8,8,0,1
360,6,6,0,1
380,9,7,-171.987,0
400,4,4,0,1
420,0,0,0,1
440,9,9,0,1
460,1,1,0,1
480,1,6,-458.881,0
500,2,2,-3.05533e-13,1
520,4,9,-226.162,0
540,3,3,0,1
560,2,2,0,1
580,7,9,-96.3915,0
600,3,3,0,1
620,8,1,-151.647,0
640,6,6,0,1
660,9,7,-130.332,0
680,0,6,-251.234,0
700,5,5,0,1
720,6,6,0,1
740,0,6,-195.111,0
760,7,7,0,1
780,6,6,0,1
800,1,1,0,1
820,8,8,0,1
840,7,7,0,1
860,9,9,0,1
880,3,1,-18.3617,0
900,9,9,0,1
920,8,7,-126.694,0
940,5,5,0,1
960,9,3,-86.7922,0
980,3,3,0,1
1000,3,3,-1.33227e-15,1
1020,0,0,0,1
1040,7,7,0,1
1060,4,1,-397.068,0
1080,9,9,0,1
1100,8,9,-267.734,0
1120,0,0,0,1
1140,9,9,0,1
1160,4,4,0,1
1180,1,1,0,1
1200,4,0,-478.923,0
1220,4,1,-98.0468,0
1240,6,6,0,1
1260,0,0,0,1
1280,4,2,-66.5149,0
1300,5,5,-6.41424e-07,1
1320,6,6,0,1
1340,1,1,0,1
1360,0,2,-73.4383,0
1380,0,8,-307.958,0
1400,1,2,-5.06629,0
1420,7,7,0,1
1440,1,1,0,1
1460,6,6,0,1
1480,3,3,0,1
1500,0,8,-222.416,0
1520,2,3,-86.2596,0
1540,1,1,0,1
1560,1,1,0,1
1580,7,7,0,1
1600,9,2,-328.843,0
1620,0,8,-274.987,0
1640,2,2,0,1
1660,6,6,0,1
1680,7,7,0,1
1700,8,8,0,1
1720,3,2,-148.106,0
1740,9,9,0,1
1760,0,0,-4.88729e-08,1
1780,4,4,0,1
1800,6,6,0,1
1820,7,7,0,1
1840,4,4,0,1
1860,6,6,0,1
1880,8,8,0,1
1900,0,6,-133.782,0
1920,7,7,0,1
1940,8,8,0,1
1960,3,3,0,1
1980,1,1,0,1
2000,5,5,0,1
2020,7,7,0,1
2040,1,1,0,1
2060,7,7,0,1
2080,1,1,0,1
2100,1,1,0,1
2120,6,6,0,1
2140,3,3,0,1
2160,0,0,0,1
2180,2,2,0,1
2200,9,9,0,1
2220,3,3,0,1
2240,1,1,0,1
2260,1,1,0,1
2280,0,0,0,1
2300,4,9,-52.2809,0
2320,9,9,0,1
2340,2,2,0,1
2360,0,0,0,1
2380,0,0,0,1
2400,2,2,-0.312119,1
2420,0,0,0,1
2440,2,6,-285.323,0
2460,7,7,0,1
2480,1,1,0,1
2500,8,8,0,1
2520,6,6,0,1
2540,4,4,0,1
2560,1,1,0,1
2580,6,6,0,1
2600,3,3,0,1
2620,4,4,0,1
2640,5,1,-144.345,0
2660,9,7,-23.0383,0
2680,1,2,-176.977,0
2700,3,3,0,1
2720,3,3,0,1
2740,8,1,-183.081,0
2760,5,3,-104.889,0
2780,4,4,0,1
2800,7,7,-1.60782e-12,1
2820,7,7,0,1
2840,4,9,-171.6,0
2860,2,7,-340.421,0
2880,8,8,0,1
2900,5,6,-67.9915,0
2920,8,2,-150.762,0
2940,6,6,0,1
2960,7,9,-175.213,0
2980,3,3,0,1
3000,4,1,-144.851,0
3020,6,6,0,1
3040,1,1,0,1
