Index,Label,Prediction,Reward,Correct
0,7,7,0,1
20,3,3,-1.02619e-10,1
40,4,9,-8.04716,0
60,6,6,0,1
80,1,1,0,1
100,8,8,-0.000462458,1
120,1,1,0,1
140,0,0,0,1
160,9,4,-8.38321,0
180,8,3,-12.766,0
200,0,0,0,1
220,3,3,-2.41585e-12,1
240,1,1,0,1
260,2,7,-127.576,0
280,7,7,0,1
300,0,0,0,1
320,2,2,0,1
340,9,9,-5.1346e-08,1
360,6,6,0,1
380,0,0,0,1
400,1,1,-2.16067e-07,1
420,6,6,0,1
440,7,1,-44.366,0
460,1,1,0,1
480,9,1,-59.766,0
500,7,7,0,1
520,6,6,0,1
540,5,5,-0.0073751,1
560,5,5,-0.30381,1
580,8,0,-26.8426,0
600,8,1,-67.7064,0
620,3,3,0,1
640,4,3,-22.1447,0
660,4,9,-21.8468,0
680,8,5,-66.7574,0
700,7,7,-8.88178e-16,1
720,3,3,-1.77636e-14,1
740,6,6,0,1
760,4,7,-20.532,0
780,6,6,0,1
800,6,6,0,1
820,3,3,0,1
840,8,3,-37.3574,0
860,8,8,0,1
880,9,7,-116.38,0
900,9,0,-173.63,0
920,4,4,-0.00480937,1
940,4,4,0,1
960,0,0,0,1
980,7,7,0,1
1000,8,8,-3.11973e-13,1
1020,1,1,0,1
1040,0,2,-14.3191,0
1060,0,0,0,1
1080,1,1,0,1
1100,8,8,-0.0146349,1
1120,5,5,0,1
1140,7,7,0,1
1160,1,1,0,1
1180,7,7,0,1
1200,5,8,-74.8447,0
1220,5,1,-15.283,0
1240,9,7,-200.376,0
1260,9,6,-31.1413,0
1280,4,4,-9.73857e-08,1
1300,2,1,-1.57557,0
1320,5,3,-99.0915,0
1340,3,5,-34.8895,0
1360,7,0,-2.64637,0
1380,4,4,0,1
1400,6,6,0,1
1420,6,6,0,1
1440,0,0,0,1
1460,1,1,0,1
1480,0,0,0,1
1500,1,1,0,1
1520,2,2,0,1
1540,4,4,0,1
1560,8,2,-49.9277,0
1580,5,5,0,1
1600,3,3,0,1
1620,5,6,-11.8934,0
1640,0,6,-58.6545,0
1660,0,0,0,1
1680,6,6,0,1
1700,4,0,-21.0851,0
1720,3,2,-42.0426,0
1740,8,8,-1.25434e-07,1
1760,3,1,-24.8596,0
1780,7,7,0,1
1800,1,1,0,1
1820,4,4,0,1
1840,3,2,-42.1191,0
1860,9,0,-28.8085,0
1880,2,2,-8.57852e-10,1
1900,2,6,-83.4494,0
1920,0,0,0,1
1940,3,3,0,1
1960,6,6,0,1
1980,6,6,0,1
2000,7,7,0,1
2020,4,4,0,1
2040,3,8,-2.5966,0
2060,2,6,-58.4621,0
2080,2,6,-44.7681,0
2100,4,5,-84.1362,0
2120,9,0,-96.5787,0
2140,1,1,0,1
2160,0,0,0,1
2180,5,5,-1.39979e-05,1
2200,2,1,-76.8255,0
2220,4,4,0,1
2240,8,1,-29.6255,0
2260,2,2,-5.29888e-08,1
2280,1,1,0,1
2300,0,0,0,1
2320,8,6,-3.89288,0
2340,4,0,-17.9702,0
2360,4,4,-5.53426e-10,1
2380,8,5,-18.2404,0
2400,0,0,0,1
2420,6,6,0,1
2440,4,7,-4.70462,0
2460,1,1,0,1
2480,4,1,-47.0872,0
2500,9,7,-40.1592,0
2520,6,6,0,1
2540,3,6,-26.8237,0
2560,1,1,0,1
2580,2,0,-153.855,0
2600,9,4,-0.719469,0
2620,0,0,0,1
2640,1,1,-5.73359e-06,1
2660,0,0,0,1
2680,4,1,-59.2872,0
2700,2,2,0,1
2720,9,8,-88.7277,0
2740,9,0,-66.4553,0
2760,4,2,-47.8255,0
2780,3,3,0,1
2800,8,3,-70.7532,0
2820,6,6,0,1
2840,9,9,0,1
2860,3,3,0,1
2880,0,0,-0.000956627,1
2900,6,6,0,1
2920,7,7,0,1
2940,0,0,0,1
2960,3,1,-59.2511,0
2980,1,1,0,1
3000,4,1,-31.4837,0
3020,2,2,0,1
3040,3,2,-130.106,0
3060,3,3,0,1
3080,0,0,0,1
3100,4,1,-141.547,0
3120,2,2,0,1
3140,5,1,-4.05006,0
3160,5,5,0,1
3180,6,6,0,1
3200,3,3,0,1
3220,7,7,0,1
3240,2,0,-2.69543,0
3260,8,5,-181.985,0
3280,5,7,-10.8409,0
3300,9,7,-99.5506,0
3320,2,6,-52.3217,0
3340,0,0,0,1
3360,1,1,0,1
3380,1,1,0,1
3400,8,5,-100.189,0
3420,2,5,-45.3,0
3440,9,7,-13.5336,0
3460,3,7,-62.4085,0
3480,1,9,-12.9503,0
3500,4,1,-55.2787,0
3520,1,1,0,1
3540,5,7,-11.8477,0
3560,7,7,0,1
3580,6,6,0,1
3600,4,4,0,1
3620,7,7,0,1
3640,7,7,0,1
3660,8,5,-123.857,0
3680,3,2,-11.4596,0
3700,9,9,-5.32907e-15,1
3720,3,3,0,1
3740,0,0,0,1
3760,5,8,-10.5513,0
3780,1,1,0,1
3800,3,3,0,1
3820,2,2,0,1
3840,0,8,-67.6128,0
3860,3,6,-59.3362,0
3880,0,0,-2.8964e-05,1
3900,4,7,-18.7655,0
3920,0,8,-40.183,0
3940,7,7,0,1
3960,4,0,-91.9447,0
3980,8,8,-2.20436e-07,1
4000,8,6,-12.7711,0
4020,9,9,0,1
4040,0,0,0,1
4060,0,0,0,1
4080,1,1,0,1
4100,8,6,-0.967238,0
4120,7,7,0,1
4140,3,3,-2.56734e-10,1
4160,9,9,-0.00130199,1
4180,9,9,0,1
4200,5,5,-1.06e-11,1
4220,5,5,0,1
4240,9,9,0,1
4260,6,6,0,1
4280,7,7,0,1
4300,8,8,-0.361315,1
4320,2,1,-168.587,0
4340,4,4,-1.12638e-09,1
4360,6,6,0,1
4380,9,9,0,1
4400,8,8,-1.20173e-11,1
4420,1,1,0,1
4440,6,6,0,1
4460,7,7,0,1
4480,9,9,-0.202267,1
4500,1,1,0,1
4520,6,6,0,1
4540,2,2,0,1
4560,0,0,0,1
4580,9,7,-41.1668,0
4600,6,6,0,1
4620,6,6,0,1
4640,2,6,-60.9251,0
4660,9,9,-0.00056025,1
4680,1,1,-0.0425045,1
4700,1,1,0,1
4720,2,2,0,1
4740,1,1,0,1
4760,3,5,-8.4784,0
4780,1,1,0,1
4800,5,5,-0.396118,1
4820,2,5,-5.95791,0
4840,7,7,0,1
4860,8,5,-203.132,0
4880,0,0,0,1
4900,1,1,0,1
4920,0,0,0,1
4940,2,2,0,1
4960,8,3,-173.357,0
4980,0,0,-6.66134e-16,1
5000,2,5,-78.834,0
5020,7,7,0,1
5040,3,3,-9.1406e-09,1
5060,7,7,0,1
5080,5,7,-31.3809,0
5100,5,4,-9.48097,0
5120,1,1,0,1
5140,8,5,-54.7745,0
5160,2,6,-27.7957,0
5180,2,2,0,1
5200,6,6,-9.76996e-15,1
5220,9,9,0,1
5240,1,1,0,1
5260,8,5,-120.887,0
5280,7,7,0,1
5300,4,1,-43.1085,0
5320,0,0,0,1
5340,6,6,0,1
5360,0,0,-3.55271e-15,1
5380,7,7,0,1
5400,3,3,-1.21382e-05,1
5420,1,1,0,1
5440,0,6,-11.2928,0
5460,6,6,0,1
5480,6,6,0,1
5500,0,0,0,1
5520,9,1,-15.7021,0
5540,3,3,0,1
5560,4,3,-12.9915,0
5580,6,6,0,1
5600,7,7,-4.78628e-07,1
5620,8,8,0,1
5640,9,7,-6.51213,0
5660,7,7,0,1
5680,3,3,-2.66711e-05,1
5700,0,0,0,1
5720,0,0,0,1
5740,4,1,-36.9894,0
5760,0,8,-33.9574,0
5780,2,2,-1.12587e-08,1
5800,6,6,0,1
5820,7,7,-0.333237,1
5840,5,5,0,1
5860,4,4,-0.321946,1
5880,6,6,0,1
5900,4,1,-61.9149,0
5920,8,1,-115.879,0
5940,2,2,0,1
5960,0,0,-1.48251e-10,1
5980,8,5,-134.291,0
6000,7,7,0,1
6020,1,1,0,1
6040,7,7,0,1
6060,5,5,-1.07935e-06,1
6080,1,1,0,1
6100,1,1,0,1
6120,2,3,-17.5719,0
6140,2,1,-43.9702,0
6160,7,7,-1.77636e-15,1
6180,5,7,-10.5481,0
6200,6,6,0,1
6220,6,6,0,1
6240,7,7,0,1
6260,4,4,0,1
6280,2,6,-44.9294,0
6300,3,7,-103.317,0
6320,9,2,-135.932,0
6340,0,0,0,1
6360,2,2,0,1
6380,0,0,0,1
6400,9,7,-178.79,0
6420,0,0,0,1
6440,4,4,-2.22045e-16,1
6460,3,3,-1.3145e-13,1
6480,4,1,-99.3298,0
6500,7,7,0,1
6520,7,7,0,1
6540,0,5,-1.536,0
6560,3,3,-1.16707e-12,1
6580,6,6,0,1
6600,0,0,0,1
6620,4,1,-13.5085,0
6640,3,6,-58.606,0
6660,8,3,-48.5106,0
6680,6,6,-0.347724,1
6700,8,8,0,1
6720,1,1,-1.42162e-09,1
6740,3,3,0,1
6760,8,1,-21.2234,0
6780,9,9,0,1
6800,0,0,0,1
6820,9,9,0,1
6840,0,0,0,1
6860,8,5,-104.049,0
6880,0,0,0,1
6900,2,2,0,1
6920,8,6,-26.5132,0
6940,7,7,0,1
6960,8,3,-41.583,0
6980,7,7,0,1
7000,9,4,-32.5872,0
7020,1,1,0,1
7040,7,7,0,1
7060,0,0,0,1
7080,3,3,0,1
7100,1,1,0,1
7120,4,9,-6.98393,0
7140,2,2,0,1
7160,3,3,0,1
7180,3,3,0,1
7200,8,3,-11.5783,0
7220,4,4,0,1
7240,9,7,-64.3055,0
7260,5,5,-2.22045e-16,1
7280,6,2,-70.5302,0
7300,6,6,-1.45887e-07,1
7320,4,4,-1.96328e-05,1
7340,7,7,0,1
7360,0,8,-52.6088,0
7380,8,8,0,1
7400,3,1,-37.4038,0
7420,9,9,-2.22045e-16,1
7440,8,1,-26.4723,0
7460,0,0,0,1
7480,6,6,0,1
7500,1,1,0,1
7520,8,8,0,1
7540,2,2,0,1
7560,5,5,0,1
7580,3,3,0,1
7600,2,2,0,1
7620,4,4,-0.00235259,1
7640,5,7,-26.7843,0
7660,5,5,0,1
7680,6,1,-15.7533,0
7700,6,6,0,1
7720,9,7,-2.74067,0
7740,7,7,0,1
7760,3,3,0,1
7780,8,8,0,1
7800,9,1,-103.374,0
7820,9,9,-3.70592e-13,1
7840,3,3,0,1
7860,0,0,0,1
7880,8,1,-75.6106,0
7900,1,1,0,1
7920,3,1,-23.4383,0
7940,2,2,0,1
7960,0,0,0,1
7980,3,3,0,1
8000,2,2,0,1
8020,4,4,0,1
8040,9,0,-67.434,0
8060,5,5,0,1
8080,9,9,-0.268448,1
8100,6,6,0,1
8120,4,4,-1.82332e-06,1
8140,7,7,0,1
8160,3,6,-36.8783,0
8180,8,0,-129.779,0
8200,4,4,0,1
8220,9,9,-2.65061e-10,1
8240,3,3,-4.46204e-09,1
8260,6,6,0,1
8280,5,7,-2.34051,0
8300,2,2,-2.23976e-12,1
8320,7,7,0,1
8340,5,5,0,1
8360,8,8,0,1
8380,6,6,0,1
8400,2,2,0,1
8420,2,6,-4.60074,0
8440,7,7,0,1
8460,5,5,0,1
8480,5,5,-1.21902e-13,1
8500,1,1,0,1
8520,9,9,-6.12843e-13,1
8540,7,7,0,1
8560,1,1,0,1
8580,1,1,0,1
8600,8,2,-118.072,0
8620,8,6,-10.5328,0
8640,3,3,0,1
8660,3,3,0,1
8680,3,8,-136.532,0
8700,8,5,-19.3857,0
8720,2,2,0,1
8740,7,7,0,1
8760,2,2,0,1
8780,1,1,0,1
8800,5,9,-3.29466,0
8820,7,7,0,1
8840,3,2,-50.3319,0
8860,1,1,0,1
8880,4,4,-0.0980979,1
8900,4,1,-43.6404,0
8920,7,7,0,1
8940,7,7,0,1
8960,7,1,-26.2532,0
8980,2,6,-56.4196,0
9000,4,1,-41.6447,0
9020,6,6,0,1
9040,5,5,0,1
9060,5,5,0,1
9080,9,5,-7.44527,0
9100,3,3,0,1
9120,5,2,-84.2809,0
9140,9,7,-12.3549,0
9160,3,2,-7.6643,0
9180,9,4,-53.9064,0
9200,8,8,-3.03535e-13,1
9220,0,0,0,1
9240,0,9,-25.9172,0
9260,8,8,0,1
9280,0,3,-21.9079,0
9300,7,7,0,1
9320,6,5,-50.88,0
9340,3,3,0,1
9360,0,7,-52.2017,0
9380,0,0,0,1
9400,0,0,0,1
9420,3,3,0,1
9440,7,7,0,1
9460,7,7,0,1
9480,8,2,-154.349,0
9500,0,0,0,1
9520,8,8,-0.162785,1
9540,1,1,0,1
9560,9,9,-0.0116728,1
9580,1,1,0,1
9600,2,2,0,1
9620,2,2,0,1
9640,4,9,-72.1574,0
9660,1,1,0,1
9680,1,1,0,1
9700,6,6,0,1
9720,6,6,0,1
9740,0,0,0,1
9760,0,0,0,1
9780,5,5,0,1
9800,4,4,0,1
9820,3,3,0,1
9840,9,9,-0.000853381,1
9860,3,3,0,1
9880,1,1,0,1
9900,6,6,0,1
9920,7,7,0,1
9940,3,3,0,1
9960,0,6,-73.514,0
9980,5,5,0,1
10000,1,1,0,1
10020,9,4,-97.2936,0
10040,0,2,-84.8979,0
10060,9,9,-8.79629e-09,1
10080,7,6,-2.89117,0
10100,0,0,0,1
10120,5,3,-59.9064,0
10140,1,1,0,1
10160,2,2,0,1
10180,2,2,0,1
10200,3,8,-2.04124,0
10220,3,3,0,1
10240,0,0,-3.77476e-15,1
10260,4,4,-0.000295215,1
10280,0,0,0,1
10300,5,5,-6.80554e-09,1
10320,1,1,0,1
10340,6,5,-35.7396,0
10360,9,1,-69.0383,0
10380,7,7,0,1
10400,1,1,0,1
