Index,Label,Prediction,Reward,Correct
0,5,3,-376.898,0
20,0,0,0,1
40,4,4,0,1
60,1,8,-80.4128,0
80,9,7,-327.553,0
100,2,2,0,1
120,1,1,0,1
140,3,3,0,1
160,1,1,0,1
180,4,5,-164.774,0
200,3,3,0,1
220,5,5,0,1
240,3,3,0,1
260,6,6,0,1
280,1,1,0,1
300,7,7,0,1
320,2,2,0,1
340,8,8,0,1
360,6,6,0,1
380,9,5,-289.902,0
400,4,4,0,1
420,0,0,0,1
440,9,9,0,1
460,1,1,0,1
480,1,6,-435.153,0
500,2,2,0,1
520,4,9,-302.906,0
540,3,3,0,1
560,2,2,0,1
580,7,9,-38.9872,0
600,3,2,-26,0
620,8,8,0,1
640,6,6,0,1
660,9,7,-160.591,0
680,0,8,-1121.68,0
700,5,5,0,1
720,6,5,-11.5872,0
740,0,5,-164.579,0
760,7,7,0,1
780,6,6,0,1
800,1,1,0,1
820,8,8,0,1
840,7,7,0,1
860,9,5,-206.949,0
880,3,3,0,1
900,9,7,-113.574,0
920,8,8,0,1
940,5,5,0,1
960,9,3,-461.362,0
980,3,3,0,1
1000,3,3,0,1
1020,0,0,-1.28892e-06,1
1040,7,7,0,1
1060,4,5,-639.213,0
1080,9,9,0,1
1100,8,8,0,1
1120,0,0,0,1
1140,9,9,0,1
1160,4,4,0,1
1180,1,8,-148.134,0
1200,4,0,-366.128,0
1220,4,5,-154.821,0
1240,6,8,-674.496,0
1260,0,0,0,1
1280,4,0,-126.362,0
1300,5,5,0,1
1320,6,6,-1.69395e-08,1
1340,1,1,0,1
1360,0,2,-277.349,0
1380,0,8,-548.428,0
1400,1,2,-238.496,0
1420,7,7,0,1
1440,1,1,0,1
1460,6,6,0,1
1480,3,3,0,1
1500,0,5,-203.979,0
1520,2,3,-242.289,0
1540,1,8,-80.3489,0
1560,1,1,0,1
1580,7,7,0,1
1600,9,2,-776.009,0
1620,0,5,-557.817,0
1640,2,2,0,1
1660,6,6,0,1
1680,7,7,0,1
1700,8,8,0,1
1720,3,2,-161.779,0
1740,9,7,-116.085,0
1760,0,2,-119.791,0
1780,4,4,0,1
1800,6,6,0,1
