Index,Label,Prediction,Reward,Correct
0,5,3,-67.7064,0
20,0,0,0,1
40,4,4,0,1
60,1,1,0,1
80,9,9,0,1
100,2,9,-158.047,0
120,1,1,0,1
140,3,3,0,1
160,1,1,0,1
180,4,5,-76.017,0
200,3,3,0,1
220,5,5,-0.0455556,1
240,3,8,-73.5234,0
260,6,6,0,1
280,1,1,0,1
300,7,7,-4.44089e-16,1
320,2,2,-1.18301e-11,1
340,8,8,0,1
360,6,6,0,1
380,9,7,-70.2043,0
400,4,4,0,1
420,0,0,0,1
440,9,9,0,1
460,1,1,0,1
480,1,6,-341.611,0
500,2,2,0,1
520,4,9,-215.719,0
540,3,3,0,1
560,2,7,-117.017,0
580,7,9,-57.1957,0
600,3,1,-161.134,0
620,8,1,-63.7362,0
640,6,6,0,1
660,9,7,-116.004,0
680,0,6,-171.485,0
700,5,5,0,1
720,6,6,0,1
740,0,6,-10.0596,0
760,7,7,-1.01271e-09,1
780,6,6,0,1
800,1,1,0,1
820,8,8,0,1
840,7,7,0,1
860,9,9,0,1
880,3,3,-9.48067e-10,1
900,9,9,0,1
920,8,8,0,1
940,5,5,-1.82965e-13,1
960,9,5,-222.817,0
980,3,3,0,1
1000,3,2,-187.532,0
1020,0,0,0,1
1040,7,7,0,1
1060,4,1,-338.4,0
1080,9,9,0,1
1100,8,7,-337.315,0
1120,0,0,0,1
1140,9,9,0,1
1160,4,4,0,1
1180,1,1,0,1
1200,4,0,-443.468,0
1220,4,1,-87.3404,0
1240,6,6,0,1
1260,0,0,0,1
1280,4,6,-52.5532,0
1300,5,5,-1.38289e-11,1
1320,6,6,0,1
1340,1,1,0,1
1360,0,2,-154.153,0
1380,0,5,-407.949,0
1400,1,1,0,1
1420,7,7,0,1
1440,1,1,0,1
1460,6,6,0,1
1480,3,3,0,1
1500,0,5,-160.132,0
1520,2,2,0,1
1540,1,1,0,1
1560,1,1,0,1
1580,7,7,0,1
1600,9,2,-443.494,0
1620,0,5,-271.081,0
1640,2,2,0,1
1660,6,6,0,1
1680,7,7,0,1
1700,8,3,-7.65154,0
1720,3,8,-64.9051,0
1740,9,9,0,1
1760,0,0,-1.33227e-15,1
1780,4,4,0,1
1800,6,6,0,1
1820,7,7,0,1
1840,4,4,-0.365855,1
1860,6,6,0,1
1880,8,1,-59.583,0
1900,0,6,-374.213,0
1920,7,7,0,1
1940,8,8,0,1
1960,3,3,0,1
1980,1,1,0,1
2000,5,5,0,1
2020,7,7,0,1
2040,1,1,0,1
2060,7,7,0,1
2080,1,1,0,1
2100,1,1,0,1
2120,6,6,0,1
2140,3,3,0,1
2160,0,0,0,1
2180,2,5,-241.711,0
2200,9,9,0,1
2220,3,3,0,1
2240,1,1,0,1
2260,1,1,0,1
2280,0,0,0,1
2300,4,9,-83.9957,0
2320,9,9,0,1
2340,2,2,0,1
2360,0,0,0,1
2380,0,0,0,1
2400,2,7,-335.94,0
2420,0,0,0,1
2440,2,6,-4.38278,0
2460,7,7,0,1
2480,1,1,0,1
2500,8,8,0,1
2520,6,6,0,1
2540,4,5,-108.06,0
2560,1,1,0,1
2580,6,6,0,1
2600,3,3,0,1
2620,4,9,-29.7872,0
2640,5,1,-223.296,0
2660,9,9,0,1
2680,1,5,-340.198,0
2700,3,3,0,1
2720,3,3,0,1
2740,8,1,-270.017,0
2760,5,2,-7.59625,0
2780,4,9,-108.843,0
2800,7,3,-8.97034,0
2820,7,7,0,1
2840,4,9,-147.664,0
2860,2,7,-482.728,0
2880,8,8,0,1
2900,5,5,-4.08029e-12,1
2920,8,8,0,1
2940,6,6,0,1
2960,7,9,-140.353,0
2980,3,3,0,1
3000,4,1,-126.894,0
3020,6,6,0,1
3040,1,1,0,1
3060,9,9,0,1
3080,9,7,-278.553,0
3100,6,6,0,1
3120,0,0,0,1
3140,3,3,0,1
3160,7,7,0,1
3180,2,6,-81.5404,0
3200,8,1,-330.972,0
3220,2,2,0,1
3240,9,9,0,1
3260,4,9,-29.2511,0
3280,4,4,0,1
3300,6,6,0,1
3320,4,9,-159.613,0
3340,9,9,0,1
3360,7,1,-104.496,0
3380,0,6,-398.847,0
3400,9,9,0,1
3420,2,2,0,1
3440,9,7,-252.574,0
3460,5,1,-94.5872,0
3480,1,1,0,1
3500,5,5,0,1
3520,9,9,0,1
3540,1,1,0,1
3560,2,4,-114.591,0
3580,3,3,0,1
3600,2,6,-75.2002,0
3620,3,0,-181.719,0
3640,5,2,-194.17,0
3660,9,9,0,1
3680,1,1,0,1
3700,7,7,0,1
3720,6,2,-76.034,0
3740,2,2,0,1
3760,8,8,0,1
3780,2,7,-66.4596,0
3800,2,6,-162.323,0
3820,5,5,0,1
3840,0,6,-93.5106,0
3860,7,7,0,1
3880,4,9,-94.0894,0
3900,9,9,0,1
3920,7,7,0,1
3940,8,8,0,1
3960,3,2,-157.591,0
3980,2,7,-194.204,0
4000,1,1,0,1
4020,1,1,0,1
4040,8,8,0,1
4060,3,3,0,1
4080,6,6,0,1
4100,1,1,0,1
4120,0,0,0,1
4140,3,0,-507.643,0
4160,1,1,0,1
4180,0,0,0,1
4200,0,8,-119.762,0
4220,1,1,0,1
4240,7,1,-408.468,0
4260,2,2,0,1
4280,7,7,0,1
4300,3,3,0,1
4320,0,8,-350.017,0
4340,4,4,0,1
4360,6,6,0,1
4380,5,5,0,1
4400,2,2,0,1
4420,6,6,0,1
4440,4,4,0,1
4460,7,7,0,1
4480,1,9,-259.264,0
4500,8,8,0,1
4520,9,7,-5.38333,0
4540,9,9,0,1
4560,3,2,-124.996,0
4580,0,0,0,1
4600,7,7,0,1
4620,1,1,0,1
4640,0,6,-246.111,0
4660,2,6,-22.1574,0
4680,0,6,-104.932,0
4700,3,3,0,1
4720,5,5,0,1
4740,4,4,0,1
4760,6,6,0,1
4780,5,5,0,1
4800,8,1,-221.447,0
4820,6,2,-171.149,0
4840,3,2,-76.8596,0
4860,7,7,0,1
4880,5,3,-192.119,0
4900,8,8,0,1
4920,0,8,-239.066,0
4940,9,9,0,1
4960,1,1,0,1
4980,0,0,0,1
5000,3,9,-152.591,0
5020,1,1,0,1
5040,2,2,0,1
5060,2,2,0,1
5080,3,5,-22.8979,0
5100,3,3,0,1
5120,6,1,-72.3766,0
5140,4,4,0,1
5160,7,7,0,1
5180,5,5,0,1
5200,0,0,0,1
5220,6,6,0,1
5240,2,6,-121.379,0
5260,7,7,0,1
5280,9,3,-2.04124,0
5300,8,8,0,1
5320,5,2,-18.1574,0
5340,9,9,0,1
5360,2,7,-321.383,0
5380,1,1,0,1
5400,1,1,0,1
5420,4,9,-18.0511,0
5440,4,4,0,1
5460,5,5,0,1
5480,6,8,-65.1213,0
5500,4,4,0,1
5520,1,1,0,1
5540,2,2,0,1
5560,5,6,-684.34,0
5580,3,3,0,1
5600,9,9,0,1
5620,3,3,0,1
5640,9,7,-187.128,0
5660,0,0,0,1
5680,5,8,-84.5043,0
5700,9,9,0,1
5720,6,6,0,1
5740,5,5,0,1
5760,7,7,0,1
5780,4,4,0,1
5800,1,1,0,1
5820,3,3,0,1
5840,4,9,-64.7234,0
5860,0,0,0,1
5880,4,4,0,1
5900,8,8,0,1
5920,0,0,0,1
5940,4,4,0,1
5960,3,3,0,1
5980,6,6,0,1
6000,8,1,-64.5957,0
6020,7,7,0,1
6040,6,6,0,1
6060,0,0,0,1
6080,9,9,0,1
6100,7,7,0,1
6120,5,5,0,1
6140,7,7,0,1
6160,2,2,0,1
6180,1,1,0,1
6200,1,1,0,1
6220,6,6,0,1
6240,8,3,-89.4681,0
6260,9,9,0,1
6280,4,4,0,1
6300,1,1,0,1
6320,5,8,-155.374,0
6340,2,2,0,1
6360,2,1,-51.6787,0
6380,9,9,0,1
6400,0,6,-306.779,0
6420,3,3,0,1
6440,9,3,-30.1915,0
6460,6,6,0,1
6480,7,7,0,1
6500,2,2,0,1
6520,0,0,0,1
6540,3,3,0,1
6560,5,5,-3.55271e-15,1
6580,4,4,0,1
6600,3,2,-188.728,0
6620,6,6,0,1
6640,5,5,0,1
6660,8,8,0,1
6680,9,9,0,1
6700,5,5,0,1
6720,4,9,-57.0553,0
6740,7,7,0,1
6760,4,4,0,1
6780,2,2,0,1
6800,7,9,-240.094,0
6820,3,3,0,1
6840,4,9,-41.7234,0
6860,8,8,0,1
6880,9,9,0,1
6900,1,1,0,1
6920,9,9,0,1
6940,2,2,0,1
6960,8,6,-258.047,0
6980,7,7,0,1
7000,9,9,0,1
7020,1,1,0,1
7040,8,5,-478.357,0
7060,7,7,0,1
7080,4,9,-310.787,0
7100,1,1,0,1
7120,3,3,0,1
7140,1,1,0,1
7160,1,1,0,1
7180,0,0,0,1
7200,2,2,0,1
7220,3,3,0,1
7240,9,9,0,1
7260,4,4,0,1
7280,9,9,0,1
7300,2,2,0,1
7320,1,1,0,1
7340,6,6,0,1
7360,8,8,0,1
7380,4,9,-94.8213,0
7400,7,1,-567.47,0
7420,7,7,0,1
7440,4,9,-109.523,0
7460,4,4,0,1
7480,9,9,0,1
7500,2,6,-50.9404,0
7520,5,5,-1.9984e-15,1
7540,7,7,0,1
7560,2,2,0,1
7580,4,9,-31.9617,0
7600,4,6,-48.8596,0
7620,2,6,-175.481,0
7640,1,1,0,1
7660,9,9,0,1
7680,7,7,-0.00204468,1
7700,2,2,0,1
7720,8,2,-40.834,0
7740,7,7,0,1
