Index,Label,Prediction,Reward,Correct
0,5,3,-41.5319,0
20,0,0,0,1
40,4,4,-0.027508,1
60,1,1,0,1
80,9,9,0,1
100,2,9,-21.3489,0
120,1,1,0,1
140,3,3,0,1
160,1,1,0,1
180,4,5,-23.5979,0
200,3,3,0,1
220,5,5,-0.143715,1
240,3,3,0,1
260,6,6,0,1
280,1,1,0,1
300,7,7,0,1
320,2,2,-1.7002e-11,1
340,8,8,-9.10383e-15,1
360,6,6,-0.0103892,1
380,9,7,-47.783,0
400,4,4,-5.70877e-13,1
420,0,0,0,1
440,9,5,-11.0471,0
460,1,1,0,1
480,1,6,-47.0966,0
500,2,2,0,1
520,4,9,-5.17231,0
540,3,3,0,1
560,2,0,-90.8511,0
580,7,1,-13.5021,0
600,3,2,-15.5067,0
620,8,1,-68.6957,0
640,6,6,0,1
660,9,7,-26.3472,0
680,0,5,-128.285,0
700,5,5,0,1
720,6,6,0,1
740,0,0,0,1
760,7,7,-1.24145e-12,1
780,6,6,0,1
800,1,1,0,1
820,8,8,0,1
840,7,7,-1.42819e-12,1
860,9,9,-2.33875e-06,1
880,3,3,0,1
900,9,9,0,1
920,8,7,-10.8052,0
940,5,5,0,1
960,9,3,-20.5617,0
980,3,3,0,1
1000,3,2,-10.3064,0
1020,0,0,0,1
1040,7,7,0,1
1060,4,1,-85.1787,0
1080,9,9,-0.351356,1
1100,8,5,-14.8191,0
1120,0,0,0,1
1140,9,9,0,1
1160,4,4,0,1
1180,1,1,0,1
1200,4,0,-419.621,0
1220,4,5,-36.866,0
1240,6,8,-13.514,0
1260,0,0,0,1
1280,4,0,-74.2255,0
1300,5,1,-11.3085,0
1320,6,6,0,1
1340,1,1,0,1
1360,0,2,-59.4979,0
1380,0,5,-83.617,0
1400,1,2,-24.5404,0
1420,7,7,0,1
1440,1,1,0,1
1460,6,6,0,1
1480,3,3,0,1
1500,0,5,-48.7234,0
1520,2,3,-18.4085,0
1540,1,1,0,1
1560,1,1,0,1
1580,7,7,0,1
1600,9,2,-89.6085,0
1620,0,5,-178.768,0
1640,2,2,0,1
1660,6,0,-8.80185,0
1680,7,7,0,1
1700,8,8,0,1
1720,3,3,0,1
1740,9,9,0,1
1760,0,0,0,1
1780,4,4,0,1
1800,6,6,0,1
1820,7,7,0,1
1840,4,4,-6.44662e-12,1
1860,6,6,0,1
1880,8,8,0,1
1900,0,5,-40.1255,0
1920,7,7,0,1
1940,8,8,0,1
1960,3,3,0,1
1980,1,1,0,1
2000,5,5,0,1
2020,7,7,-0.0398202,1
2040,1,1,0,1
2060,7,7,0,1
2080,1,1,-1.56541e-13,1
2100,1,1,0,1
2120,6,6,0,1
2140,3,3,0,1
2160,0,2,-10.2,0
2180,2,2,-1.00261e-05,1
2200,9,9,0,1
2220,3,3,0,1
2240,1,1,0,1
2260,1,1,0,1
2280,0,0,0,1
2300,4,4,-1.11022e-15,1
2320,9,9,0,1
2340,2,2,0,1
2360,0,0,0,1
2380,0,0,0,1
2400,2,7,-84.1319,0
2420,0,2,-100.681,0
2440,2,6,-99.2613,0
2460,7,7,0,1
2480,1,1,0,1
2500,8,8,0,1
2520,6,6,0,1
2540,4,5,-12.3043,0
2560,1,1,0,1
2580,6,6,0,1
2600,3,3,0,1
2620,4,5,-11.6915,0
2640,5,1,-40.7064,0
2660,9,7,-12.6409,0
2680,1,2,-41.6638,0
2700,3,3,0,1
2720,3,3,-7.36003e-10,1
2740,8,1,-60.8596,0
2760,5,2,-49.6234,0
2780,4,5,-73.7596,0
2800,7,3,-6.0537,0
2820,7,1,-20.9996,0
2840,4,9,-8.82568,0
2860,2,7,-147.974,0
2880,8,8,-7.99361e-15,1
2900,5,1,-4.98572,0
2920,8,2,-9.93622,0
2940,6,6,0,1
2960,7,8,-9.12624,0
2980,3,3,0,1
3000,4,1,-199.136,0
3020,6,6,0,1
3040,1,1,0,1
3060,9,9,0,1
3080,9,7,-26.8153,0
3100,6,6,0,1
3120,0,0,0,1
3140,3,5,-9.04905,0
3160,7,7,-0.022923,1
3180,2,2,0,1
3200,8,1,-34.6638,0
3220,2,5,-39.0957,0
3240,9,9,0,1
3260,4,5,-64.3574,0
3280,4,4,-9.9698e-14,1
3300,6,6,0,1
3320,4,5,-12.4234,0
3340,9,9,0,1
3360,7,1,-55.0651,0
3380,0,5,-38.9319,0
3400,9,9,0,1
3420,2,2,0,1
3440,9,7,-32.1634,0
3460,5,1,-60.7468,0
3480,1,1,0,1
3500,5,5,-5.66214e-14,1
3520,9,9,0,1
3540,1,1,0,1
3560,2,0,-33.3922,0
3580,3,3,0,1
3600,2,1,-58.8957,0
3620,3,0,-98.3872,0
3640,5,2,-131.804,0
3660,9,9,0,1
3680,1,1,0,1
3700,7,7,0,1
3720,6,6,-4.33875e-12,1
3740,2,2,0,1
3760,8,2,-48.1489,0
3780,2,7,-128.131,0
3800,2,6,-108.042,0
3820,5,5,-1.12396e-05,1
3840,0,0,0,1
3860,7,0,-21.9157,0
3880,4,4,-6.73392e-11,1
3900,9,9,0,1
3920,7,7,0,1
3940,8,8,-1.01394e-07,1
3960,3,3,0,1
3980,2,7,-18.4374,0
4000,1,1,0,1
4020,1,1,0,1
4040,8,5,-148.736,0
4060,3,8,-42.9574,0
4080,6,6,0,1
4100,1,1,0,1
4120,0,0,0,1
4140,3,0,-222.409,0
4160,1,1,0,1
4180,0,0,0,1
4200,0,0,-9.58618e-09,1
4220,1,1,0,1
4240,7,1,-104.681,0
4260,2,2,0,1
4280,7,7,0,1
4300,3,3,0,1
4320,0,2,-48.7362,0
4340,4,4,-1.38101e-08,1
4360,6,6,0,1
4380,5,5,0,1
4400,2,2,0,1
4420,6,6,0,1
4440,4,0,-233.187,0
4460,7,7,0,1
4480,1,9,-115.302,0
4500,8,8,0,1
4520,9,7,-14.1898,0
4540,9,9,0,1
