Index,Label,Prediction,Reward,Correct
0,5,3,-53.7021,0
20,0,0,0,1
40,4,4,0,1
60,1,1,0,1
80,9,7,-389.991,0
100,2,7,-42.5532,0
120,1,1,0,1
140,3,3,-0.0116972,1
160,1,1,0,1
180,4,5,-115.587,0
200,3,1,-83.3447,0
220,5,5,0,1
240,3,2,-403.753,0
260,6,6,0,1
280,1,1,0,1
300,7,7,0,1
320,2,7,-115.094,0
340,8,7,-111.004,0
360,6,6,0,1
380,9,7,-400.132,0
400,4,4,0,1
420,0,0,0,1
440,9,1,-34.8468,0
460,1,1,0,1
480,1,6,-185.732,0
500,2,2,0,1
520,4,9,-116.945,0
540,3,3,0,1
560,2,2,0,1
580,7,1,-18.7447,0
600,3,2,-268.166,0
620,8,1,-418.511,0
640,6,6,0,1
660,9,7,-390.987,0
680,0,5,-123.983,0
700,5,5,0,1
720,6,5,-20.1106,0
740,0,7,-30.7872,0
760,7,3,-20.0851,0
780,6,6,0,1
800,1,1,0,1
820,8,8,0,1
840,7,7,0,1
860,9,7,-158.77,0
880,3,1,-98.2383,0
900,9,7,-201.532,0
920,8,8,0,1
940,5,5,0,1
960,9,5,-142.009,0
980,3,1,-135.157,0
1000,3,2,-65.6979,0
1020,0,0,0,1
1040,7,7,0,1
1060,4,1,-467.762,0
1080,9,7,-115.132,0
1100,8,7,-299.587,0
1120,0,0,0,1
1140,9,7,-46.2213,0
1160,4,4,0,1
1180,1,1,0,1
1200,4,0,-183.319,0
1220,4,1,-186.2,0
1240,6,5,-74.0383,0
1260,0,0,0,1
1280,4,0,-168.706,0
1300,5,5,0,1
1320,6,6,0,1
1340,1,1,0,1
1360,0,2,-204.306,0
1380,0,7,-318.545,0
1400,1,1,0,1
1420,7,7,0,1
1440,1,1,0,1
1460,6,6,0,1
1480,3,3,0,1
1500,0,7,-180.396,0
1520,2,2,0,1
1540,1,1,0,1
1560,1,1,0,1
1580,7,7,0,1
1600,9,2,-342.549,0
1620,0,7,-4.66274,0
1640,2,2,0,1
1660,6,6,0,1
