frame_count,value
684369,8
684370,9
684371,10
684372,11
684373,12
684374,13
684375,14
684376,15
684377,16
684378,17
684379,18
684380,19
684381,20
684382,21
684383,22
684384,23
684385,23
684386,0
684387,2
684388,3
684389,4
684390,5
684391,6
684392,7
684393,8
684394,9
684395,10
684396,11
684397,12
684398,13
684399,14
684400,15
684401,16
684402,17
684403,18
684404,19
684405,20
684406,21
684407,22
684408,23
684409,0
684410,0
684411,2
684412,3
684413,4
684414,5
684415,6
684416,7
684417,8
684418,9
684419,10
684420,11
684421,12
684422,13
684423,14
684424,15
684425,16
684426,17
684427,18
684428,19
684429,20
684430,21
684431,22
684432,23
684433,0
684434,0
684435,2
684436,3
684437,4
684438,5
684439,6
684440,7
684441,8
684442,9
684443,10
684444,11
684445,12
684446,13
684447,14
684448,15
684449,16
684450,17
684451,18
684452,19
684453,20
684454,21
684455,22
684456,23
684457,23
684458,0
684459,2
684460,3
684461,4
684462,5
684463,6
684464,7
684465,8
684466,9
684467,10
684468,11
684469,12
684470,13
684471,14
684472,15
684473,16
684474,17
684475,18
684476,19
684477,20
684478,21
684479,22
684480,23
684481,23
684482,0
684483,2
684484,3
684485,4
684486,5
684487,6
684488,7
684489,8
684490,9
684491,10
684492,11
684493,12
684494,13
684495,14
684496,15
684497,16
684498,17
684499,18
684500,19
684501,20
684502,21
684503,22
684504,23
684505,23
684506,0
684507,2
684508,3
684509,4
684510,5
684511,6
684512,7
684513,8
684514,9
684515,10
684516,11
684517,12
684518,13
684519,14
684520,15
684521,16
684522,17
684523,18
684524,19
684525,20
684526,21
684527,22
684528,23
684529,0
684530,0
684531,2
684532,3
684533,4
684534,5
684535,6
684536,7
684537,8
684538,9
684539,10
684540,11
684541,12
684542,13
684543,14
684544,15
684545,16
684546,17
684547,18
684548,19
684549,20
684550,21
684551,22
684552,23
684553,23
684554,0
684555,2
684556,3
684557,4
684558,5
684559,6
684560,7
684561,8
684562,9
684563,10
684564,11
684565,12
684566,13
684567,14
684568,15
684569,16
684570,17
684571,18
684572,19
684573,20
684574,21
684575,22
684576,23
684577,23
684578,0
684579,2
684580,3
684581,4
684582,5
684583,6
684584,7
684585,8
684586,9
684587,10
684588,11
684589,12
684590,13
684591,14
684592,15
684593,16
684594,17
684595,18
684596,19
684597,20
684598,21
684599,22
684600,23
684601,1
684602,0
684603,2
684604,3
684605,4
684606,5
684607,6
684608,7
684609,8
684610,9
684611,10
684612,11
684613,12
684614,13
684615,14
684616,15
684617,16
684618,17
684619,18
684620,19
684621,20
684622,21
684623,22
684624,23
684625,0
684626,0
684627,2
684628,3
684629,4
684630,5
684631,6
684632,7
684633,8
684634,9
684635,10
684636,11
684637,12
684638,13
684639,14
684640,15
684641,16
684642,17
684643,18
684644,19
684645,20
684646,21
684647,22
684648,23
684649,23
684650,0
684651,2
684652,3
684653,4
684654,5
684655,6
684656,7
684657,8
684658,9
684659,10
684660,11
684661,12
684662,13
684663,14
684664,15
684665,16
684666,17
684667,18
684668,19
684669,20
684670,21
684671,22
684672,23
684673,23
684674,0
684675,2
684676,3
684677,4
684678,5
684679,6
684680,7
684681,8
684682,9
684683,10
684684,11
684685,12
684686,13
684687,14
684688,15
684689,16
684690,17
684691,18
684692,19
684693,20
684694,21
684695,22
684696,23
684697,0
684698,0
684699,2
684700,3
684701,4
684702,5
684703,6
684704,7
684705,8
684706,9
684707,10
684708,11
684709,12
684710,13
684711,14
684712,15
684713,16
684714,17
684715,18
684716,19
684717,20
684718,21
684719,22
684720,23
684721,0
684722,0
684723,2
684724,3
684725,4
684726,5
684727,6
684728,7
684729,8
684730,9
684731,10
684732,11
684733,12
684734,13
684735,14
684736,15
684737,16
684738,17
684739,18
684740,19
684741,20
684742,21
684743,22
684744,23
684745,23
684746,0
684747,2
684748,3
684749,4
684750,5
684751,6
684752,7
684753,8
684754,9
684755,10
684756,11
684757,12
684758,13
684759,14
684760,15
684761,16
684762,17
684763,18
684764,19
684765,20
684766,21
684767,22
684768,23
684769,23
684770,0
684771,2
684772,3
684773,4
684774,5
684775,6
684776,7
684777,8
684778,9
684779,10
684780,11
684781,12
684782,13
684783,14
684784,15
684785,16
684786,17
684787,18
684788,19
684789,20
684790,21
684791,22
684792,23
684793,1
684794,0
684795,2
684796,3
684797,4
684798,5
684799,6
684800,7
684801,8
684802,9
684803,10
684804,11
684805,12
684806,13
684807,14
684808,15
684809,16
684810,17
684811,18
684812,19
684813,20
684814,21
684815,22
684816,23
684817,0
684818,0
684819,2
684820,3
684821,4
684822,5
684823,6
684824,7
684825,8
684826,9
684827,10
684828,11
684829,12
684830,13
684831,14
684832,15
684833,16
684834,17
684835,18
684836,19
684837,20
684838,21
684839,22
684840,23
684841,23
684842,0
684843,2
684844,3
684845,4
684846,5
684847,6
684848,7
684849,8
684850,9
684851,10
684852,11
684853,12
684854,13
684855,14
684856,15
684857,16
684858,17
684859,18
684860,19
684861,20
684862,21
684863,22
684864,23
684865,0
684866,0
684867,2
684868,3
684869,4
684870,5
684871,6
684872,7
684873,8
684874,9
684875,10
684876,11
684877,12
684878,13
684879,14
684880,15
684881,16
684882,17
684883,18
684884,19
684885,20
684886,21
684887,22
684888,23
684889,23
684890,0
684891,2
684892,3
684893,4
684894,5
684895,6
684896,7
684897,8
684898,9
684899,10
684900,11
684901,12
684902,13
684903,14
684904,15
684905,16
684906,17
684907,18
684908,19
684909,20
684910,21
684911,22
684912,23
684913,23
684914,0
684915,2
684916,3
684917,4
684918,5
684919,6
684920,7
684921,8
684922,9
684923,10
684924,11
684925,12
684926,13
684927,14
684928,15
684929,16
684930,17
684931,18
684932,19
684933,20
684934,21
684935,22
684936,23
684937,23
684938,0
684939,2
684940,3
684941,4
684942,5
684943,6
684944,7
684945,8
684946,9
684947,10
684948,11
684949,12
684950,13
684951,14
684952,15
684953,16
684954,17
684955,18
684956,19
684957,20
684958,21
684959,22
684960,23
684961,23
684962,0
684963,2
684964,3
684965,4
684966,5
684967,6
684968,7
684969,8
684970,9
684971,10
684972,11
684973,12
684974,13
684975,14
684976,15
684977,16
684978,17
684979,18
684980,19
684981,20
684982,21
684983,22
684984,23
684985,0
684986,0
684987,2
684988,3
684989,4
684990,5
684991,6
684992,7
684993,8
684994,9
684995,10
684996,11
684997,12
684998,13
684999,14
685000,15
685001,16
685002,17
685003,18
685004,19
685005,20
685006,21
685007,22
685008,23
685009,0
685010,0
685011,2
685012,3
685013,4
685014,5
685015,6
685016,7
685017,8
685018,9
685019,10
685020,11
685021,12
685022,13
685023,14
685024,15
685025,16
685026,17
685027,18
685028,19
685029,20
685030,21
685031,22
685032,23
685033,23
685034,0
685035,2
685036,3
685037,4
685038,5
685039,6
685040,7
685041,8
685042,9
685043,10
685044,11
685045,12
685046,13
685047,14
685048,15
685049,16
685050,17
685051,18
685052,19
685053,20
685054,21
685055,22
685056,23
685057,0
685058,0
685059,2
685060,3
685061,4
685062,5
685063,6
685064,7
685065,8
685066,9
685067,10
685068,11
685069,12
685070,13
685071,14
685072,15
685073,16
685074,17
685075,18
685076,19
685077,20
685078,21
685079,22
685080,23
685081,23
685082,0
685083,2
685084,3
685085,4
685086,5
685087,6
685088,7
685089,8
685090,9
685091,10
685092,11
685093,12
685094,13
685095,14
685096,15
685097,16
685098,17
685099,18
685100,19
685101,20
685102,21
685103,22
685104,23
685105,0
685106,0
685107,2
685108,3
685109,4
685110,5
685111,6
685112,7
685113,8
685114,9
685115,10
685116,11
685117,12
685118,13
685119,14
685120,15
685121,16
685122,17
685123,18
685124,19
685125,20
685126,21
685127,22
685128,23
685129,0
685130,0
685131,2
685132,3
685133,4
685134,5
685135,6
685136,7
685137,8
685138,9
685139,10
685140,11
685141,12
685142,13
685143,14
685144,15
685145,16
685146,17
685147,18
685148,19
685149,20
685150,21
685151,22
685152,23
685153,23
685154,0
685155,2
685156,3
685157,4
685158,5
685159,6
685160,7
685161,8
685162,9
685163,10
685164,11
685165,12
685166,13
685167,14
685168,15
685169,16
685170,17
685171,18
685172,19
685173,20
685174,21
685175,22
685176,23
685177,23
685178,0
685179,2
685180,3
685181,4
685182,5
685183,6
685184,7
685185,8
685186,9
685187,10
685188,11
685189,12
685190,13
685191,14
685192,15
685193,16
685194,17
685195,18
685196,19
685197,20
685198,21
685199,22
685200,23
685201,23
685202,0
685203,2
685204,3
685205,4
685206,5
685207,6
685208,7
685209,8
685210,9
685211,10
685212,11
685213,12
685214,13
685215,14
685216,15
685217,16
685218,17
685219,18
685220,19
685221,20
685222,21
685223,22
685224,23
685225,0
685226,0
685227,2
685228,3
685229,4
685230,5
685231,6
685232,7
685233,8
685234,9
685235,10
685236,11
685237,12
685238,13
685239,14
685240,15
685241,16
685242,17
685243,18
685244,19
685245,20
685246,21
685247,22
685248,23
685249,23
685250,0
685251,2
685252,3
685253,4
685254,5
685255,6
685256,7
685257,8
685258,9
685259,10
685260,11
685261,12
685262,13
685263,14
685264,15
685265,16
685266,17
685267,18
685268,19
685269,20
685270,21
685271,22
685272,23
685273,0
685274,0
685275,2
685276,3
685277,4
685278,5
685279,6
685280,7
685281,8
685282,9
685283,10
685284,11
685285,12
685286,13
685287,14
685288,15
685289,16
685290,17
685291,18
685292,19
685293,20
685294,21
685295,22
685296,23
685297,23
685298,0
685299,2
685300,3
685301,4
685302,5
685303,6
685304,7
685305,8
685306,9
685307,10
685308,11
685309,12
685310,13
685311,14
685312,15
685313,16
685314,17
685315,18
685316,19
685317,20
685318,21
685319,22
685320,23
685321,0
685322,0
685323,2
685324,3
685325,4
685326,5
685327,6
685328,7
685329,8
685330,9
685331,10
685332,11
685333,12
685334,13
685335,14
685336,15
685337,16
685338,17
685339,18
685340,19
685341,20
685342,21
685343,22
685344,23
685345,23
685346,0
685347,2
685348,3
685349,4
685350,5
685351,6
685352,7
685353,8
685354,9
685355,10
685356,11
685357,12
685358,13
685359,14
685360,15
685361,16
685362,17
685363,18
685364,19
685365,20
685366,21
685367,22
685368,23
685369,0
685370,0
685371,2
685372,3
685373,4
685374,5
685375,6
685376,7
685377,8
685378,9
685379,10
685380,11
685381,12
685382,13
685383,14
685384,15
685385,16
685386,17
685387,18
685388,19
685389,20
685390,21
685391,22
685392,23
685393,0
685394,0
685395,2
685396,3
685397,4
685398,5
685399,6
685400,7
685401,8
685402,9
685403,10
685404,11
685405,12
685406,13
685407,14
685408,15
685409,16
685410,17
685411,18
685412,19
685413,20
685414,21
685415,22
685416,23
685417,0
685418,0
685419,2
685420,3
685421,4
685422,5
685423,6
685424,7
685425,8
685426,9
685427,10
685428,11
685429,12
685430,13
685431,14
685432,15
685433,16
685434,17
685435,18
685436,19
685437,20
685438,21
685439,22
685440,23
685441,23
685442,0
685443,2
685444,3
685445,4
685446,5
685447,6
685448,7
685449,8
685450,9
685451,10
685452,11
685453,12
685454,13
685455,14
685456,15
685457,16
685458,17
685459,18
685460,19
685461,20
685462,21
685463,22
685464,23
685465,23
685466,0
685467,2
685468,3
685469,4
685470,5
685471,6
685472,7
685473,8
685474,9
685475,10
685476,11
685477,12
685478,13
685479,14
685480,15
685481,16
685482,17
685483,18
685484,19
685485,20
685486,21
685487,22
685488,23
685489,9
685490,0
685491,2
685492,3
685493,4
685494,5
685495,6
685496,7
685497,8
685498,9
685499,10
685500,11
685501,12
685502,13
685503,14
685504,15
685505,16
685506,17
685507,18
685508,19
685509,20
685510,21
685511,22
685512,23
685513,0
685514,0
685515,2
685516,3
685517,4
685518,5
685519,6
685520,7
685521,8
685522,9
685523,10
685524,11
685525,12
685526,13
685527,14
685528,15
685529,16
685530,17
685531,18
685532,19
685533,20
685534,21
685535,22
685536,23
685537,23
685538,1
685539,2
685540,3
685541,4
685542,5
685543,6
685544,7
685545,8
685546,9
685547,10
685548,11
685549,12
685550,13
685551,14
685552,15
685553,16
685554,17
685555,18
685556,19
685557,20
685558,21
685559,22
685560,23
685561,23
685562,0
685563,2
685564,3
685565,4
