frame_count,value
23913,7
23914,8
23915,9
23916,10
23917,11
23918,12
23919,13
23920,14
23921,15
23922,16
23923,17
23924,18
23925,19
23926,20
23927,21
23928,22
23929,23
23930,0
23931,1
23932,2
23933,3
23934,4
23935,5
23936,6
23937,7
23938,8
23939,9
23940,10
23941,11
23942,12
23943,13
23944,14
23945,15
23946,16
23947,17
23948,18
23949,19
23950,20
23951,21
23952,22
23953,23
23954,0
23955,1
23956,2
23957,3
23958,4
23959,5
23960,6
23961,7
23962,8
23963,9
23964,10
23965,11
23966,12
23967,13
23968,14
23969,15
23970,16
23971,17
23972,18
23973,19
23974,20
23975,21
23976,22
23977,23
23978,0
23979,1
23980,2
23981,3
23982,4
23983,5
23984,6
23985,7
23986,8
23987,9
23988,10
23989,11
23990,12
23991,13
23992,14
23993,15
23994,16
23995,17
23996,18
